OTUs,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCI93A01,SCI93A10,SCI93A20,SCI93B1,SCI93B40,SCI93C01,SCI93C1,SCI93C10,SCI93C50,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
FIIIA1_AOF8I,80,16,16,11,89,74,145,73,50,24,137,262,180,22,525,633,67,142,222,244,62,196,411,465,251,392,99,299,860,103,504,382,74,180,141,26,61,253,39,576,174,43,33,129,66,54,36,49,46,161,154,87,6,26,39,4,70,5,18,83,0,0,0,0,5,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIC01_A3DNE,68,10,3,7,23,44,1,46,28,5,16,94,76,10,159,234,18,63,53,58,13,121,201,280,38,188,69,78,326,67,460,199,42,76,94,25,29,73,31,361,95,64,27,5,45,36,17,53,4,25,10,12,13,6,38,8,46,24,48,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIB1_H39JQ,4,0,3,26,9,1,4,2,0,0,0,2,105,0,9,2,1,0,0,3,1,0,0,6,5,0,9,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,11,2,12,3,1,4,18,1,0,0,0,1,1,0,1,3,1,52,59,63,86,92,47,171,215,80,133,167,257,403,333,465,348,40,26,89,140,48,67,10,11,33,4,23,37,5,9
SC98C1_JDM2W,19,4,11,7,26,13,86,21,15,26,13,27,18,0,77,102,2,18,20,31,3,10,31,50,5,29,27,2,43,12,497,12,0,5,5,4,1,4,10,26,13,18,17,203,45,82,69,26,99,282,328,88,1,0,8,1,34,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
FIC01_B84F1,125,15,107,0,57,91,17,285,46,30,33,37,45,519,75,49,37,31,43,255,359,6,3,1,5,2,3,0,1,3,7,11,2,19,3,14,3,0,6,17,4,3,0,0,0,0,0,0,1,1,8,6,13,4,1,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P72IA1_F12K0,1,0,5,19,1,6,0,6,1,3,2,6,71,0,0,0,1,0,0,2,0,5,0,0,4,0,7,0,0,0,1,5,0,0,0,3,0,1,5,0,0,0,0,5,1,4,0,0,1,0,0,1,3,0,0,0,0,0,1,0,52,41,37,81,54,2,101,157,72,113,116,143,284,202,332,171,29,0,64,83,19,23,2,13,6,0,12,7,3,0
FIA001_B8AA0,1,0,0,0,0,0,0,0,0,0,2,4,3,7,3,29,2,1,1,7,14,1,10,5,0,5,0,0,14,1,0,394,89,115,221,64,74,106,8,414,200,200,2,0,0,0,0,0,0,1,1,0,3,0,1,1,0,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCI93A10_ENPGW,9,0,0,13,0,5,0,9,0,0,26,16,0,51,0,63,13,19,11,2,3,1,17,0,7,27,0,0,0,21,0,12,1,0,1,3,0,0,118,0,3,4,3,41,107,118,63,127,16,112,24,102,105,40,65,61,244,63,117,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IC10_CBZHL,0,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,277,171,8,8,0,0,0,0,119,42,853,81,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_CE081,4,2,1,3,4,5,6,5,3,5,8,10,5,3,20,14,4,9,13,31,3,23,46,44,37,28,5,0,76,14,7,142,19,36,40,20,14,54,15,145,77,38,11,22,33,20,7,22,13,51,29,8,20,2,20,5,34,7,31,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A100_IFKHF,186,7,194,9,99,233,24,123,39,48,2,0,1,0,8,4,0,3,3,5,0,0,3,0,1,0,12,0,9,0,3,0,0,1,0,118,0,0,100,0,0,2,0,0,0,0,0,0,1,0,0,0,4,5,2,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
FIA001_BZUK9,177,0,4,68,642,164,47,115,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,4,0,3,0,0,0
P72IC10_CLSAL,4,0,1,9,0,4,8,4,6,0,0,0,46,0,0,2,0,0,2,1,0,0,0,1,7,0,1,0,3,0,0,3,1,2,0,0,0,0,14,0,0,0,0,16,2,17,3,0,11,5,0,2,0,0,0,1,0,2,0,0,28,19,15,39,33,16,63,43,21,56,71,55,68,44,63,36,13,2,27,34,41,89,33,37,24,4,31,35,9,16
FIA100_CI7W4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,33,0,2,1,0,28,3,0,0,0,0,0,0,0,2,4,1,1,0,4,6,3,3,0,1,0,0,11,0,0,0,0,0,9,0,23,1,27,0,0,444,67,94,222,0,72,105
SCI93B1_ELM5J,0,0,0,2,0,7,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,402,89,248,3,58,107,1,3,1,0,144,0,3,17,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIC01_BRZK6,9,1,1,0,28,35,0,19,4,0,61,92,54,11,207,61,0,106,53,49,2,3,17,54,0,37,1,0,25,11,2,1,0,7,1,82,1,16,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,12,0,2,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_CC35P,0,0,13,9,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,19,0,0,1,0,0,0,1,0,0,0,0,1,2,1,7,11,14,28,735,42,56,42,12,5,56
FIIA001_F3P4Z,0,0,0,1,0,0,0,0,2,0,4,14,4,0,4,7,1,0,2,0,0,46,111,139,72,57,34,209,122,19,74,13,0,0,0,1,1,1,1,21,8,0,0,1,1,3,1,6,1,3,0,0,0,2,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC98A100_ITUIM,0,0,0,3,0,5,0,0,0,0,1,0,0,0,3,4,2,0,1,0,11,17,22,34,4,10,0,0,27,9,13,0,0,0,1,122,0,0,466,0,0,0,0,0,5,4,3,7,1,1,1,0,67,19,8,15,42,55,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIC10_AULT2,16,1,2,0,12,6,2,24,2,3,43,84,3,21,77,68,59,32,19,201,5,4,0,3,0,1,51,0,3,0,0,9,4,33,4,52,0,3,4,23,6,1,0,0,0,0,0,0,0,1,0,0,6,9,0,11,8,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FIIA01_BXEPJ,46,27,13,1,146,45,32,73,61,13,6,23,11,2,29,26,12,28,22,54,17,1,0,4,0,2,0,0,2,0,5,0,0,0,0,192,0,4,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_CCA4Z,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,4,0,3,0,0,8,11,0,7,1,5,30,6,9,48,2,2,238,2,18,29,174,43,0,0,0,4,1,0,1,0,3,14,1,103,5,37,46,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIA001_F1H1A,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,6,5,2,0,0,0,3,0,0,0,0,0,136,61,50,77,4,48,42,3,180,101,98,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIB10_B2LGA,5,0,0,0,0,2,0,6,2,0,16,38,74,20,73,40,2,30,41,79,25,8,29,33,0,31,0,0,51,17,6,38,8,6,5,5,8,53,0,38,14,2,2,0,0,0,0,0,0,0,0,0,2,7,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIB1_IDQD4,16,0,0,7,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,12,10,2,43,4,9,27,15,2,11,31,21,79,74,28,6,57,1,115,68,4,23,8,3,55,0,27,10,2,0
FIA001_BWFZ0,2,0,0,5,1,3,1,3,8,0,0,0,3,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,34,3,14,4,0,16,33,0,6,0,0,3,0,1,0,0,0,13,10,6,14,13,5,15,13,8,29,23,36,46,47,68,37,13,5,9,12,23,20,34,33,3,4,10,15,39,30
FIIA001_F2MSN,0,0,0,0,0,0,0,0,0,0,9,6,20,4,21,6,0,10,15,15,12,42,91,43,4,74,7,1,81,20,4,56,9,6,13,1,20,19,0,55,63,15,0,1,2,1,0,6,0,0,0,0,5,1,7,2,5,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA100_B858X,0,0,0,5,0,0,31,0,0,9,0,0,0,0,0,2,2,0,1,0,0,3,5,18,6,11,18,33,10,1,177,54,4,9,2,1,3,10,7,58,8,22,18,9,41,28,6,39,10,14,8,7,9,0,7,1,7,25,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P72IIIA10_EOGWK,3,0,0,3,2,1,2,0,4,0,0,2,3,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,2,0,0,0,0,3,0,0,3,0,21,7,11,11,0,15,49,0,4,0,0,0,0,2,0,1,0,14,7,2,15,4,10,39,59,15,40,40,71,63,46,55,10,17,2,25,60,1,4,3,5,2,1,1,0,0,8
FIIIB10_AL88E,32,2,33,6,7,11,8,74,2,4,5,12,11,0,34,43,4,7,11,4,6,4,23,4,14,13,105,0,12,3,7,14,0,3,1,7,2,1,0,8,1,2,0,7,15,26,4,31,0,8,10,2,7,5,20,5,9,3,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
