sample,treatment,distance_class,transect,systems,Distance (m)
FIA001,FI,1,A,Forest,0.001
FIA1,FI,1,A,Forest,1
FIA10,FI,1,A,Forest,10
FIA100,FI,1,A,Forest,100
FIB1,FI,1,B,Forest,1
FIB10,FI,1,B,Forest,10
FIB100,FI,1,B,Forest,100
FIC01,FI,1,C,Forest,0.01
FIC1,FI,1,C,Forest,1
FIC100,FI,1,C,Forest,100
FIIA001,FII,2,A,Forest,1000.001
FIIA01,FII,2,A,Forest,1000.01
FIIA1,FII,2,A,Forest,1001
FIIA100,FII,2,A,Forest,1100
FIIB1,FII,2,B,Forest,1001
FIIB10,FII,2,B,Forest,1010
FIIB100,FII,2,B,Forest,1100
FIIC01,FII,2,C,Forest,1000.01
FIIC1,FII,2,C,Forest,1001
FIIC10,FII,2,C,Forest,1010
FIIC100,FII,2,C,Forest,1100
FIIIA001,FIII,3,A,Forest,10000.001
FIIIA01,FIII,3,A,Forest,10000.01
FIIIA1,FIII,3,A,Forest,10001
FIIIA100,FIII,3,A,Forest,10100
FIIIB1,FIII,3,B,Forest,10001
FIIIB10,FIII,3,B,Forest,10010
FIIIB100,FIII,3,B,Forest,10100
FIIIC01,FIII,3,C,Forest,10000.01
FIIIC1,FIII,3,C,Forest,10001
FIIIC10,FIII,3,C,Forest,10010
SC93A01,SC93,1,A,Secondary Forest,0.01
SC93A10,SC93,1,A,Secondary Forest,10
SC93A20,SC93,1,A,Secondary Forest,20
SC93B1,SC93,1,B,Secondary Forest,1
SC93B40,SC93,1,B,Secondary Forest,40
SC93C01,SC93,1,C,Secondary Forest,0.01
SC93C1,SC93,1,C,Secondary Forest,1
SC93C10,SC93,1,C,Secondary Forest,10
SC93C50,SC93,1,C,Secondary Forest,50
SC98A001,SC98,2,A,Secondary Forest,3111.689
SC98A01,SC98,2,A,Secondary Forest,3111.698
SC98A1,SC98,2,A,Secondary Forest,3112.688
SC98A10,SC98,2,A,Secondary Forest,3121.688
SC98A100,SC98,2,A,Secondary Forest,3211.688
SC98B1,SC98,2,B,Secondary Forest,3112.688
SC98B10,SC98,2,B,Secondary Forest,3121.688
SC98B100,SC98,2,B,Secondary Forest,3211.688
SC98C01,SC98,2,C,Secondary Forest,3111.698
SC98C1,SC98,2,C,Secondary Forest,3112.688
SC98C10,SC98,2,C,Secondary Forest,3121.688
SC98C100,SC98,2,C,Secondary Forest,3211.688
SCIA1,SCI,3,A,Secondary Forest,9732.317
SCIA10,SCI,3,A,Secondary Forest,9741.317
SCIA100,SCI,3,A,Secondary Forest,9831.317
SCIB1,SCI,3,B,Secondary Forest,9732.317
SCIB10,SCI,3,B,Secondary Forest,9741.317
SCIB100,SCI,3,B,Secondary Forest,9831.317
SCIC1,SCI,3,C,Secondary Forest,9732.317
SCIC100,SCI,3,C,Secondary Forest,9831.317
P72IA001,P72I,1,A,Pasture,0.001
P72IA01,P72I,1,A,Pasture,0.01
P72IA1,P72I,1,A,Pasture,1
P72IA10,P72I,1,A,Pasture,10
P72IA100,P72I,1,A,Pasture,100
P72IB1,P72I,1,B,Pasture,1
P72IB10,P72I,1,B,Pasture,10
P72IB100,P72I,1,B,Pasture,100
P72IC01,P72I,1,C,Pasture,0.01
P72IC1,P72I,1,C,Pasture,1
P72IC10,P72I,1,C,Pasture,10
P72IC100,P72I,1,C,Pasture,100
P72IIA001,P72II,2,A,Pasture,1000.001
P72IIA01,P72II,2,A,Pasture,1000.01
P72IIA1,P72II,2,A,Pasture,1001
P72IIB10,P72II,2,B,Pasture,1010
P72IIB100,P72II,2,B,Pasture,1100
P72IIC01,P72II,2,C,Pasture,1000.01
P72IIC10,P72II,2,C,Pasture,1010
P72IIC100,P72II,2,C,Pasture,1100
P72IIIA01,P72III,3,A,Pasture,10000.01
P72IIIA1,P72III,3,A,Pasture,10001
P72IIIA10,P72III,3,A,Pasture,10010
P72IIIA100,P72III,3,A,Pasture,10100
P72IIIB1,P72III,3,B,Pasture,10001
P72IIIB100,P72III,3,B,Pasture,10100
P72IIIC01,P72III,3,C,Pasture,10000.01
P72IIIC1,P72III,3,C,Pasture,10001
P72IIIC10,P72III,3,C,Pasture,10010
P72IIIC100,P72III,3,C,Pasture,10100
