,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
SC98A001_CH86J,260,192,149,215,233,329,292,356,193,254,560,534,335,890,706,535,442,409,714,503,923,788,840,690,370,875,658,673,767,806,465,96,413,585,102,729,67,220,451,236,982,637,956,1043,642,1083,879,83,947,1062,1108,1050,400,340,786,419,569,241,505,678,47,56,30,97,63,40,46,35,80,42,32,48,74,116,84,137,49,37,77,33,32,52,27,7,33,7,33,40,66,13
FIC100_BFOIQ,122,75,57,68,104,118,260,85,87,120,199,257,135,75,323,201,132,152,290,201,104,417,426,433,475,395,173,766,474,383,615,202,130,174,90,148,101,261,569,166,314,206,308,254,93,293,348,65,399,314,224,232,76,67,104,61,156,37,121,323,19,26,21,24,40,12,17,18,16,17,19,18,17,28,14,19,24,28,25,12,13,58,12,8,22,12,16,62,5,8
SC93B1_EA2L6,1,1,2,2,2,1,0,2,0,3,1,7,0,1,0,2,9,6,1,2,1,4,4,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,2,1,1,0,0,0,0,0,10,0,0,0,0,6,8,0,2,2,1,2,0,0,0,2,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,3,0,0
FIA100_B6RDK,134,118,75,135,93,93,82,109,37,113,64,98,104,70,65,264,54,77,57,67,70,78,79,111,162,88,111,36,93,65,100,16,54,45,23,142,18,31,124,63,66,109,60,53,68,34,208,36,59,41,57,70,111,32,84,73,66,24,71,45,32,84,31,88,38,69,44,57,47,53,34,29,138,178,82,160,115,52,216,32,138,162,120,39,222,88,215,207,73,61
P72IIIB100_EXHDP,4,2,0,12,3,3,8,10,1,0,3,6,8,0,0,10,3,6,6,2,2,2,1,3,4,1,15,3,1,0,9,0,1,0,4,4,1,0,3,2,26,22,6,0,18,3,0,8,20,1,0,4,30,16,2,7,1,6,2,2,4,9,0,1,7,11,67,9,4,10,2,7,4,1,1,1,2,11,1,0,24,2,27,23,7,42,6,8,3,41
P72IIB100_F2SY4,0,0,1,3,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,4,6,15,2,15,16,6,20,17,17,17,6,13,39,19,6,0,1,1,2,1,0,1,0,0,1,3,1,0
P72IA10_DJ8N2,140,143,94,20,158,115,55,106,53,73,117,100,51,214,99,88,128,60,53,171,32,26,10,25,21,24,70,0,51,31,10,7,1,5,4,11,3,1,25,11,27,17,72,11,90,9,8,29,22,15,6,10,28,45,5,55,28,10,51,10,16,40,26,63,22,43,44,45,15,34,26,38,79,94,47,33,56,15,149,38,26,93,15,7,100,6,47,47,14,0
FIIC10_AQ7GQ,24,77,8,16,17,14,69,37,25,20,22,16,8,0,0,1,175,18,4,28,4,0,0,0,5,0,3,0,7,0,2,17,4,1,22,5,10,15,4,18,3,310,1,1,7,0,0,51,6,0,0,0,25,49,1,39,5,2,16,17,6,11,31,16,8,16,23,14,19,9,3,8,12,3,3,6,13,4,4,5,5,16,10,3,6,2,8,2,64,1
FIIA001_GCGOS,27,14,0,1,15,4,0,24,36,5,2,1,9,4,0,0,0,1,2,4,19,8,1,2,0,1,4,0,3,1,3,0,0,0,1,0,0,1,0,2,5,6,0,2,0,6,0,3,3,0,5,1,5,6,7,5,7,1,5,6,4,3,1,3,4,2,0,5,2,6,2,4,14,11,6,6,10,6,9,8,0,0,0,5,2,1,0,1,3,3
FIC1_GGOXI,0,2,6,2,1,6,1,4,5,1,2,4,1,2,1,5,5,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,4,1,9,3,2,1,0,0,1,1,2,0,0,0,0,0,4,5,1,1,10,3,17,9,1,6,10,7,7,31
