sample,treatment,color
FIA001,F,red
FIA1,F,red
FIA10,F,red
FIA100,F,red
FIB1,F,red
FIB10,F,red
FIB100,F,red
FIC01,F,red
FIC1,F,red
FIC100,F,red
FIIA001,F,red
FIIA01,F,red
FIIA1,F,red
FIIA100,F,red
FIIB1,F,red
FIIB10,F,red
FIIB100,F,red
FIIC01,F,red
FIIC1,F,red
FIIC10,F,red
FIIC100,F,red
FIIIA001,F,red
FIIIA01,F,red
FIIIA1,F,red
FIIIA100,F,red
FIIIB1,F,red
FIIIB10,F,red
FIIIB100,F,red
FIIIC01,F,red
FIIIC1,F,red
FIIIC10,F,red
SC93A01,S,blue
SC93A10,S,blue
SC93A20,S,blue
SC93B1,S,blue
SC93B40,S,blue
SC93C01,S,blue
SC93C1,S,blue
SC93C10,S,blue
SC93C50,S,blue
SC98A001,S,blue
SC98A01,S,blue
SC98A1,S,blue
SC98A10,S,blue
SC98A100,S,blue
SC98B1,S,blue
SC98B10,S,blue
SC98B100,S,blue
SC98C01,S,blue
SC98C1,S,blue
SC98C10,S,blue
SC98C100,S,blue
SCIA1,S,blue
SCIA10,S,blue
SCIA100,S,blue
SCIB1,S,blue
SCIB10,S,blue
SCIB100,S,blue
SCIC1,S,blue
SCIC100,S,blue
P72IA001,P,Green
P72IA01,P,Green
P72IA1,P,Green
P72IA10,P,Green
P72IA100,P,Green
P72IB1,P,Green
P72IB10,P,Green
P72IB100,P,Green
P72IC01,P,Green
P72IC1,P,Green
P72IC10,P,Green
P72IC100,P,Green
P72IIA001,P,Green
P72IIA01,P,Green
P72IIA1,P,Green
P72IIB10,P,Green
P72IIB100,P,Green
P72IIC01,P,Green
P72IIC10,P,Green
P72IIC100,P,Green
P72IIIA01,P,Green
P72IIIA1,P,Green
P72IIIA10,P,Green
P72IIIA100,P,Green
P72IIIB1,P,Green
P72IIIB100,P,Green
P72IIIC01,P,Green
P72IIIC1,P,Green
P72IIIC10,P,Green
P72IIIC100,P,Green
