sample,pH,OM,C,N,C/N,P,S,K,Ca,Mg,Al,H+Al,SB,T,V,m,B,Cu,Fe,Mn,Zn
FIA001,4.8,45,1.586,0.159,9.956,17,10,1.6,48,14,1,22,63.6,85.6,74,2,0.22,0.9,6,61.6,13
FIA1,4.8,45,1.586,0.159,9.956,17,10,1.6,48,14,1,22,63.6,85.6,74,2,0.22,0.9,6,61.6,13
FIA10,5.5,28,3.171,0.293,10.840,9,9,1.3,56,20,0.01,15,77.3,92.3,84,0,0.2,1,50,40.5,3.1
FIA100,4.6,33,5.567,0.401,13.882,11,10,2.6,47,12,1,34,61.6,95.6,64,2,0.21,1.5,45,77.7,5.3
FIB1,5.6,34,1.851,0.156,11.839,9,10,1.4,36,11,0.01,13,48.4,61.4,79,0,0.2,1,98,47.9,3.7
FIB10,4.8,28,2.250,0.180,12.530,10,11,1.6,49,15,1,31,65.6,96.6,68,2,0.2,0.7,46,36.9,2.2
FIB100,4.8,30,1.603,0.152,10.543,9,13,1,31,13,2,34,45,79,57,4,0.15,1.8,115,162.8,5.7
FIC01,5.4,25,2.364,0.193,12.271,6,9,1,16,5,2,18,22,40,55,8,0.2,1.1,104,57.3,2.9
FIC1,5.4,25,2.364,0.193,12.271,6,9,1,16,5,2,18,22,40,55,8,0.2,1.1,104,57.3,2.9
FIC100,4.1,9,4.042,0.353,11.457,22,11,3,130,35,2,22,168,190,88,1,0.26,1.6,39,84.5,8
FIIA001,3.9,16,1.105,0.076,14.497,5,9,0.8,10,3,1,31,13.8,44.8,31,7,0.19,0.9,49,42.7,0.8
FIIA01,3.9,16,1.105,0.076,14.497,5,9,0.8,10,3,1,31,13.8,44.8,31,7,0.19,0.9,49,42.7,0.8
FIIA1,3.9,16,1.105,0.076,14.497,5,9,0.8,10,3,1,31,13.8,44.8,31,7,0.19,0.9,49,42.7,0.8
FIIA100,3.6,17,1.145,0.104,11.028,5,11,0.6,7,2,3,31,9.6,40.6,24,24,0.24,1.9,71,94,1.1
FIIB1,4.5,15,0.781,0.068,11.536,5,9,0.4,16,4,6,18,20.4,38.4,53,23,0.2,0.8,32,34,0.5
FIIB10,4.9,29,3.62,0.195,18.588,8,9,6,20,12,1,16,38,54,70,3,0.22,0.8,39,75.2,1
FIIB100,5.2,36,1.275,0.095,13.422,9,12,1.8,43,10,0.01,18,54.8,72.8,75,0,0.32,1.3,45,73.4,1.3
FIIC01,4.1,15,0.946,0.044,21.464,5,8,1.4,10,3,1,25,14.4,39.4,37,6,0.2,0.8,43,43.4,0.4
FIIC1,4.1,15,0.946,0.044,21.464,5,8,1.4,10,3,1,25,14.4,39.4,37,6,0.2,0.8,43,43.4,0.4
FIIC10,4.6,18,1.245,0.116,10.735,6,8,0.9,17,5,2,18,22.9,40.9,56,8,0.21,0.9,39,83.8,0.5
FIIC100,4.2,19,1.905,0.095,20.064,6,9,0.6,20,3,1,25,23.6,48.6,49,4,0.23,1.2,57,29.5,0.6
FIIIA001,3.9,13,0.658,0.044,14.997,4,8,1,4,2,2,20,7,27,26,22,0.18,0.6,36,26,0.5
FIIIA01,3.9,13,0.658,0.044,14.997,4,8,1,4,2,2,20,7,27,26,22,0.18,0.6,36,26,0.5
FIIIA1,3.9,13,0.658,0.044,14.997,4,8,1,4,2,2,20,7,27,26,22,0.18,0.6,36,26,0.5
FIIIA100,4.4,14,0.306,0.015,20.569,7,9,2.8,7,3,1,11,12.8,23.8,54,7,0.18,0.3,26,12.2,0.7
FIIIB1,3.8,12,0.700,0.043,16.475,5,9,0.6,5,1,1,20,6.6,26.6,25,13,0.2,0.9,45,27.8,0.5
FIIIB10,4.2,16,0.513,0.022,23.825,4,8,0.4,8,1,6,13,9.4,22.4,42,39,0.16,0.7,62,23.7,1
FIIIB100,4.2,8,0.486,0.020,24.410,4,8,0.4,1,1,1,15,2.4,17.4,14,29,0.18,0.1,64,2,0.4
FIIIC01,3.7,10,0.642,0.041,15.827,4,9,0.6,2,1,2,11,3.6,14.6,25,36,0.22,0.8,43,24.1,0.3
FIIIC1,3.7,10,0.642,0.041,15.827,4,9,0.6,2,1,2,11,3.6,14.6,25,36,0.22,0.8,43,24.1,0.3
FIIIC10,3.7,19,0.565,0.024,23.852,6,8,1.2,17,4,7,22,22.2,44.2,50,24,0.18,0.6,7,15.2,1
SC93A01,4.5,28,1.090,0.073,14.917,4,9,1.5,14,8,2,31,23.5,54.5,43,8,0.16,1.6,87,50.9,1.7
SC93A10,4,19,2.183,0.133,16.434,4,8,1.4,6,3,4,31,10.4,41.4,25,28,0.2,1,83,11.2,0.8
SC93A20,3.9,35,1.860,0.140,13.285,8,8,1.8,10,7,6,47,18.8,65.8,29,24,0.18,0.8,133,16,1.3
SC93B1,4.2,28,2.835,0.177,15.999,6,8,1,19,7,1,31,27,58,47,4,0.15,0.8,88,41.5,2.4
SC93B40,3.6,51,1.758,0.134,13.102,9,10,1.1,6,4,13,80,11.1,91.1,12,54,0.16,0.8,191,28.2,4.8
SC93C01,4.1,32,2.438,0.158,15.436,6,9,1.3,16,7,3,42,24.3,66.3,37,11,0.12,0.8,96,64,2.8
SC93C1,4.1,32,2.438,0.158,15.436,6,9,1.3,16,7,3,42,24.3,66.3,37,11,0.12,0.8,96,64,2.8
SC93C10,4.3,17,1.179,0.093,12.723,4,9,4.1,13,7,1,22,24.1,46.1,52,4,0.15,1.1,62,25.2,3.4
SC93C50,4.3,25,2.471,0.139,17.780,5,8,1.5,14,7,2,31,22.5,53.5,42,8,0.18,0.9,109,14.8,26.3
SC98A001,4,19,0.795,0.069,11.500,6,13,0.9,7,3,4,34,10.9,44.9,24,27,0.22,0.7,41,259.8,0.8
SC98A01,4,19,0.795,0.069,11.500,6,13,0.9,7,3,4,34,10.9,44.9,24,27,0.22,0.7,41,259.8,0.8
SC98A1,4,19,0.795,0.069,11.500,6,13,0.9,7,3,4,34,10.9,44.9,24,27,0.22,0.7,41,259.8,0.8
SC98A10,3.7,14,1.005,0.081,12.474,5,14,0.8,3,2,7,34,5.8,39.8,15,55,0.24,0.8,42,205,0.5
SC98A100,4.4,21,0.797,0.056,14.353,5,9,0.8,13,4,1,28,17.8,45.8,39,5,0.16,0.4,44,134.4,0.5
SC98B1,3.9,14,0.766,0.064,12.025,5,17,0.7,4,2,4,31,6.7,37.7,18,37,0.2,0.6,35,223.2,0.4
SC98B10,3.9,15,0.847,0.065,13.087,5,19,0.7,1,1,5,31,2.7,33.7,8,65,0.21,0.5,35,207.4,0.4
SC98B100,4.4,15,1.261,0.083,15.137,3,9,0.8,9,2,1,31,11.8,42.8,28,8,0.16,0.5,41,55,0.3
SC98C01,3.9,11,0.919,0.077,11.872,4,21,0.6,3,1,6,31,4.6,35.6,13,57,0.21,0.6,34,182.4,10.9
SC98C1,3.9,11,0.919,0.077,11.872,4,21,0.6,3,1,6,31,4.6,35.6,13,57,0.21,0.6,34,182.4,10.9
SC98C10,4.3,15,0.843,0.069,12.207,6,25,2.3,8,3,3,25,13.3,38.3,35,18,0.23,0.9,33,189.2,4.7
SC98C100,3.7,11,0.725,0.052,14.062,5,13,0.8,2,1,7,25,3.8,28.8,13,65,0.21,0.7,36,151.4,0.4
SCIA1,4.7,33,1.21,0.11,11.03,6,12,1.3,15,9,1,31,25.3,56.3,45,4,0.17,1.3,69,59.8,6.3
SCIA10,4.4,33,1.68,0.15,11.10,6,12,1.6,20,8,1,34,29.6,63.6,47,3,0.19,1.6,95,82.8,1
SCIA100,3.8,17,1.38,0.12,11.79,5,11,0.5,3,2,5,31,5.5,36.5,15,48,0.2,1.3,62,7.8,0.3
SCIB1,4.6,37,3.60,0.22,16.61,6,11,1.8,25,15,1,25,41.8,66.8,63,2,0.18,1.4,69,34.9,1
SCIB10,4.4,26,2.16,0.16,13.39,6,9,1.1,12,8,1,25,21.1,46.1,46,5,0.18,1.4,59,41.3,1.5
SCIB100,4.1,17,1.62,0.12,13.24,4,12,0.8,7,3,3,42,10.8,52.8,20,22,0.2,1.2,64,13.3,0.3
SCIC1,4.6,43,3.33,0.21,15.98,6,13,1.5,20,13,1,28,34.5,62.5,55,3,0.15,1.3,48,34.2,4.3
SCIC100,4.3,19,1.13,0.10,11.80,5,9,1.7,8,5,1,28,14.7,42.7,34,6,0.2,1,64,65,0.5
P72IA001,4,25,1.20,0.07,17.91,5,8,1.3,9,2,2,15,12.3,27.3,45,14,0.17,1,104,26.2,1
P72IA01,4,25,1.20,0.07,17.91,5,8,1.3,9,2,2,15,12.3,27.3,45,14,0.17,1,104,26.2,1
P72IA1,4,25,1.20,0.07,17.91,5,8,1.3,9,2,2,15,12.3,27.3,45,14,0.17,1,104,26.2,1
P72IA10,4.6,28,1.68,0.11,15.67,4,8,1.5,9,2,2,20,12.5,32.5,38,14,0.17,1.4,71,26.8,1.6
P72IA100,4.6,28,2.21,0.14,16.17,3,8,0.5,16,2,2,22,18.5,40.5,46,10,0.14,1.8,95,44,1.8
P72IB1,4.6,29,1.63,0.11,14.98,3,8,1.4,11,3,1,22,15.4,37.4,41,6,0.14,1.3,105,26.4,1.5
P72IB10,4.6,29,2.16,0.113,19.113,3,8,1.7,10,3,1,22,14.7,36.7,40,6,0.19,1.5,65,30.9,2
P72IB100,4.6,23,1.25,0.072,17.450,3,8,1,9,3,1,22,13,35,37,7,0.21,1,67,33,1.1
P72IC01,4.8,30,1.645,0.107,15.398,4,6,1.9,10,4,1,22,15.9,37.9,42,6,0.18,1,112,26,1.5
P72IC1,4.8,30,1.645,0.107,15.398,4,6,1.9,10,4,1,22,15.9,37.9,42,6,0.18,1,112,26,1.5
P72IC10,4.7,29,1.63,0.096,16.910,6,8,1.3,13,4,1,25,18.3,43.3,42,5,0.18,1.3,87,33.3,2.2
P72IC100,4.5,29,1.755,0.110,16.011,4,8,1,10,3,1,25,14,39,36,7,0.15,0.8,98,26.1,1.6
P72IIA001,4.5,25,2.071,0.135,15.382,3,8,0.7,7,2,2,28,9.7,37.7,26,17,0.14,0.7,47,23.9,0.9
P72IIA01,4.5,25,2.071,0.135,15.382,3,8,0.7,7,2,2,28,9.7,37.7,26,17,0.14,0.7,47,23.9,0.9
P72IIA1,4.5,25,2.071,0.135,15.382,3,8,0.7,7,2,2,28,9.7,37.7,26,17,0.14,0.7,47,23.9,0.9
