"sample","treatment","distance_class","transect","systems","Distance..m.","Name","Date_of_sample","Easting","Northing","Elevation","pt_type"
"FIA001","FI",1,"A","Forest",0.001,"1FA001","15-APR-09 6:56:38AM",513877.259589659,-1125100.7009685,151.291992,"origin"
"FIA1","FI",1,"A","Forest",1,NA,NA,NA,NA,NA,NA
"FIA10","FI",1,"A","Forest",10,NA,NA,NA,NA,NA,NA
"FIA100","FI",1,"A","Forest",100,NA,NA,NA,NA,NA,NA
"FIB1","FI",1,"B","Forest",1,NA,NA,NA,NA,NA,NA
"FIB10","FI",1,"B","Forest",10,NA,NA,NA,NA,NA,NA
"FIB100","FI",1,"B","Forest",100,NA,NA,NA,NA,NA,NA
"FIC01","FI",1,"C","Forest",0.01,NA,NA,NA,NA,NA,NA
"FIC1","FI",1,"C","Forest",1,NA,NA,NA,NA,NA,NA
"FIC100","FI",1,"C","Forest",100,NA,NA,NA,NA,NA,NA
"FIIA001","FII",2,"A","Forest",1000.001,"IIFA001V2","17-MAR-10 10:25:12",523259.44591541,-1124423.63843699,165.71167,"origin"
"FIIA01","FII",2,"A","Forest",1000.01,NA,NA,NA,NA,NA,NA
"FIIA1","FII",2,"A","Forest",1001,NA,NA,NA,NA,NA,NA
"FIIA100","FII",2,"A","Forest",1100,NA,NA,NA,NA,NA,NA
"FIIB1","FII",2,"B","Forest",1001,NA,NA,NA,NA,NA,NA
"FIIB10","FII",2,"B","Forest",1010,NA,NA,NA,NA,NA,NA
"FIIB100","FII",2,"B","Forest",1100,NA,NA,NA,NA,NA,NA
"FIIC01","FII",2,"C","Forest",1000.01,NA,NA,NA,NA,NA,NA
"FIIC1","FII",2,"C","Forest",1001,NA,NA,NA,NA,NA,NA
"FIIC10","FII",2,"C","Forest",1010,NA,NA,NA,NA,NA,NA
"FIIC100","FII",2,"C","Forest",1100,NA,NA,NA,NA,NA,NA
"FIIIA001","FIII",3,"A","Forest",10000.001,"IIIFA001","15-MAR-10 12:40:24",522314.23559563,-1123909.12458092,161.145508,"origin"
"FIIIA01","FIII",3,"A","Forest",10000.01,NA,NA,NA,NA,NA,NA
"FIIIA1","FIII",3,"A","Forest",10001,NA,NA,NA,NA,NA,NA
"FIIIA100","FIII",3,"A","Forest",10100,NA,NA,NA,NA,NA,NA
"FIIIB1","FIII",3,"B","Forest",10001,NA,NA,NA,NA,NA,NA
"FIIIB10","FIII",3,"B","Forest",10010,NA,NA,NA,NA,NA,NA
"FIIIB100","FIII",3,"B","Forest",10100,NA,NA,NA,NA,NA,NA
"FIIIC01","FIII",3,"C","Forest",10000.01,NA,NA,NA,NA,NA,NA
"FIIIC1","FIII",3,"C","Forest",10001,NA,NA,NA,NA,NA,NA
