sample,treatment,systems,Distance (m)
FIA001,FI,Forest,0.001
FIA1,FI,Forest,1
FIA10,FI,Forest,10
FIA100,FI,Forest,100
FIB1,FI,Forest,1
FIB10,FI,Forest,10
FIB100,FI,Forest,100
FIC01,FI,Forest,0.01
FIC1,FI,Forest,1
FIC100,FI,Forest,100
FIIA001,FII,Forest,1000.001
FIIA01,FII,Forest,1000.01
FIIA1,FII,Forest,1001
FIIA100,FII,Forest,1100
FIIB1,FII,Forest,1001
FIIB10,FII,Forest,1010
FIIB100,FII,Forest,1100
FIIC01,FII,Forest,1000.01
FIIC1,FII,Forest,1001
FIIC10,FII,Forest,1010
FIIC100,FII,Forest,1100
FIIIA001,FIII,Forest,10000.001
FIIIA01,FIII,Forest,10000.01
FIIIA1,FIII,Forest,10001
FIIIA100,FIII,Forest,10100
FIIIB1,FIII,Forest,10001
FIIIB10,FIII,Forest,10010
FIIIB100,FIII,Forest,10100
FIIIC01,FIII,Forest,10000.01
FIIIC1,FIII,Forest,10001
FIIIC10,FIII,Forest,10010
P72IA001,P72I,Pasture,0.001
P72IA01,P72I,Pasture,0.01
P72IA1,P72I,Pasture,1
P72IA10,P72I,Pasture,10
P72IA100,P72I,Pasture,100
P72IB1,P72I,Pasture,1
P72IB10,P72I,Pasture,10
P72IB100,P72I,Pasture,100
P72IC01,P72I,Pasture,0.01
P72IC1,P72I,Pasture,1
P72IC10,P72I,Pasture,10
P72IC100,P72I,Pasture,100
P72IIA001,P72II,Pasture,1000.001
P72IIA01,P72II,Pasture,1000.01
P72IIA1,P72II,Pasture,1001
P72IIB10,P72II,Pasture,1010
P72IIB100,P72II,Pasture,1100
P72IIC01,P72II,Pasture,1000.01
P72IIC10,P72II,Pasture,1010
P72IIC100,P72II,Pasture,1100
P72IIIA01,P72III,Pasture,10000.01
P72IIIA1,P72III,Pasture,10001
P72IIIA10,P72III,Pasture,10010
P72IIIA100,P72III,Pasture,10100
P72IIIB1,P72III,Pasture,10001
P72IIIB100,P72III,Pasture,10100
P72IIIC01,P72III,Pasture,10000.01
P72IIIC1,P72III,Pasture,10001
P72IIIC10,P72III,Pasture,10010
P72IIIC100,P72III,Pasture,10100

