"sample","treatment","transect","systems","Distance..m.","x","y"
"FIA001","FI","A","Forest",0.01,0,0
"FIA1","FI","A","Forest",1,1,0
"FIA10","FI","A","Forest",10,10,0
"FIA100","FI","A","Forest",100,100,0
"FIB1","FI","B","Forest",1,0,1
"FIB10","FI","B","Forest",10,0,10
"FIB100","FI","B","Forest",100,0,100
"FIC01","FI","C","Forest",0.1,0.1,0.1
"FIC1","FI","C","Forest",1,1,1
"FIC100","FI","C","Forest",100,100,100
"FIIA001","FII","A","Forest",1000.01,1000,0
"FIIA01","FII","A","Forest",1000.1,1000.1,0
"FIIA1","FII","A","Forest",1001,1001,0
"FIIA100","FII","A","Forest",1100,1100,0
"FIIB1","FII","B","Forest",1001,1000,1001
"FIIB10","FII","B","Forest",1010,1000,1010
"FIIB100","FII","B","Forest",1100,1000,1100
"FIIC01","FII","C","Forest",1000.1,1000.1,1000.1
"FIIC1","FII","C","Forest",1001,1001,1001
"FIIC10","FII","C","Forest",1010,1010,1010
"FIIC100","FII","C","Forest",1100,1100,1100
"FIIIA001","FIII","A","Forest",10000.01,10000,0
"FIIIA01","FIII","A","Forest",10000.1,10000.1,0
"FIIIA1","FIII","A","Forest",10001,10001,0
"FIIIA100","FIII","A","Forest",10100,10100,0
"FIIIB1","FIII","B","Forest",10001,10000,10001
"FIIIB10","FIII","B","Forest",10010,10000,10010
"FIIIB100","FIII","B","Forest",10100,10000,10100
"FIIIC01","FIII","C","Forest",10000.1,10000.1,10000.1
"FIIIC1","FIII","C","Forest",10001,10001,10001
"FIIIC10","FIII","C","Forest",10010,10010,10010
"SC93A01","SC93","A","Secondary Forest",0.1,0.1,0
"SC93A10","SC93","A","Secondary Forest",10,10,0
"SC93A20","SC93","A","Secondary Forest",20,20,0
"SC93B1","SC93","B","Secondary Forest",1,0,1
"SC93B40","SC93","B","Secondary Forest",40,0,40
"SC93C01","SC93","C","Secondary Forest",0.1,0.1,0.1
"SC93C1","SC93","C","Secondary Forest",1,1,1
"SC93C10","SC93","C","Secondary Forest",10,10,10
"SC93C50","SC93","C","Secondary Forest",50,50,50
"SC98A001","SC98","A","Secondary Forest",1000.01,1000,0
"SC98A01","SC98","A","Secondary Forest",1000.1,1000.1,0
"SC98A1","SC98","A","Secondary Forest",1001,1001,0
"SC98A10","SC98","A","Secondary Forest",1010,1010,0
"SC98A100","SC98","A","Secondary Forest",1100,1100,0
"SC98B1","SC98","B","Secondary Forest",1001,1000,1001
"SC98B10","SC98","B","Secondary Forest",1010,1000,1010
"SC98B100","SC98","B","Secondary Forest",1100,1000,1100
"SC98C01","SC98","C","Secondary Forest",1000.1,1000.1,1000.1
"SC98C1","SC98","C","Secondary Forest",1001,1001,1001
"SC98C10","SC98","C","Secondary Forest",1010,1010,1010
"SC98C100","SC98","C","Secondary Forest",1100,1100,1100
"SCIA1","SCI","A","Secondary Forest",10001,10001,0
"SCIA10","SCI","A","Secondary Forest",10010,10010,0
"SCIA100","SCI","A","Secondary Forest",10100,10100,0
"SCIB1","SCI","B","Secondary Forest",10001,10000,10001
"SCIB10","SCI","B","Secondary Forest",10010,10000,10010
"SCIB100","SCI","B","Secondary Forest",10100,10000,10100
"SCIC1","SCI","C","Secondary Forest",10001,10001,10001
"SCIC100","SCI","C","Secondary Forest",10100,10100,10100
"P72IA001","P72I","A","Pasture",0.01,0,0
"P72IA01","P72I","A","Pasture",0.1,0.1,0
"P72IA1","P72I","A","Pasture",1,1,0
"P72IA10","P72I","A","Pasture",10,10,0
"P72IA100","P72I","A","Pasture",100,100,0
"P72IB1","P72I","B","Pasture",1,0,1
"P72IB10","P72I","B","Pasture",10,0,10
"P72IB100","P72I","B","Pasture",100,0,100
"P72IC01","P72I","C","Pasture",0.1,0.1,0.1
"P72IC1","P72I","C","Pasture",1,1,1
"P72IC10","P72I","C","Pasture",10,10,10
"P72IC100","P72I","C","Pasture",100,100,100
"P72IIA001","P72II","A","Pasture",1000.01,1000,0
"P72IIA01","P72II","A","Pasture",1000.1,1000.1,0
"P72IIA1","P72II","A","Pasture",1001,1001,0
"P72IIB10","P72II","B","Pasture",1010,1000,1010
"P72IIB100","P72II","B","Pasture",1100,1000,1100
"P72IIC01","P72II","C","Pasture",1000.1,1000.1,1000.1
"P72IIC10","P72II","C","Pasture",1010,1010,1010
"P72IIC100","P72II","C","Pasture",1100,1100,1100
"P72IIIA01","P72III","A","Pasture",10000.1,10000.1,0
"P72IIIA1","P72III","A","Pasture",10001,10001,0
"P72IIIA10","P72III","A","Pasture",10010,10010,0
"P72IIIA100","P72III","A","Pasture",10100,10100,0
"P72IIIB1","P72III","B","Pasture",10001,10000,10001
"P72IIIB100","P72III","B","Pasture",10100,10000,10100
"P72IIIC01","P72III","C","Pasture",10000.1,10000.1,10000.1
"P72IIIC1","P72III","C","Pasture",10001,10001,10001
"P72IIIC10","P72III","C","Pasture",10010,10010,10010
"P72IIIC100","P72III","C","Pasture",10100,10100,10100
