"FIA001" "FIA1" "FIA10" "FIA100" "FIB1" "FIB10" "FIC01" "FIC1" "FIC100" "FIIA001" "FIIA01" "FIIA1" "FIIA100" "FIIB1" "FIIB10" "FIIB100" "FIIC01" "FIIC1" "FIIC10" "FIIC100" "FIIIA001" "FIIIA01" "FIIIA1" "FIIIA100" "FIIIB1" "FIIIB10" "FIIIB100" "FIIIC01" "FIIIC1" "FIIIC10" "SC93A01" "SC93A10" "SC93A20" "SC93B1" "SC93B40" "SC93C01" "SC93C1" "SC93C10" "SC93C50" "SC98A001" "SC98A01" "SC98A1" "SC98A10" "SC98A100" "SC98B1" "SC98B10" "SC98B100" "SC98C01" "SC98C1" "SC98C10" "SC98C100" "SCIA1" "SCIA10" "SCIA100" "SCIB1" "SCIB10" "SCIB100" "SCIC1" "SCIC100" "P72IA001" "P72IA01" "P72IA1" "P72IA10" "P72IA100" "P72IB1" "P72IB10" "P72IB100" "P72IC01" "P72IC1" "P72IC10" "P72IC100" "P72IIA001" "P72IIA01" "P72IIA1" "P72IIB10" "P72IIB100" "P72IIC01" "P72IIC10" "P72IIC100" "P72IIIA01" "P72IIIA1" "P72IIIA10" "P72IIIA100" "P72IIIB1" "P72IIIB100" "P72IIIC01" "P72IIIC1" "P72IIIC10" "P72IIIC100"
"FIA001" 0 0.0994806490979812 0.11070974014865 0.136634791324041 0.0721845693632373 0.0785379407868525 0.0684602265394424 0.136647233891522 0.13555967762992 0.157082446351772 0.148217804532248 0.123655004173905 0.169760336114858 0.185354074155355 0.137207688388486 0.147422365885192 0.163551707039764 0.20312815955773 0.135384513925261 0.187012949768441 0.21350319287513 0.219890453019873 0.192854152372434 0.152436451990101 0.22334675353662 0.156351186791486 0.248949404356224 0.20965697652394 0.209125684638297 0.208277499030519 0.190542443007023 0.177271695488532 0.149836985429607 0.247338356268327 0.168640548344873 0.238750619844749 0.156571115710382 0.184436579825548 0.144089103986756 0.222418404423517 0.193989214048147 0.219255738740416 0.222633787881324 0.140784697567494 0.239435403729234 0.214330294624344 0.135135333066906 0.231070325856659 0.238869778542165 0.241939902195251 0.227266375662241 0.117000248018579 0.15684541466554 0.186574459826877 0.147712064923327 0.13771998985478 0.218591391469055 0.121433811838526 0.177720992139175 0.242274963664335 0.207050797825563 0.238712195576082 0.168811121657417 0.214844516812058 0.201145210378314 0.1828773061294 0.226412520602435 0.215835609330556 0.19077851581829 0.237732846336576 0.198824825399312 0.185728902610484 0.192313665187581 0.19442079524675 0.192770631855713 0.190996390000275 0.262608854268443 0.166731862991064 0.21254944444561 0.197282747797433 0.181031648449521 0.189352329566344 0.223102174243667 0.178013380856976 0.262314201310655 0.185934668968599 0.174155576192095 0.22324865548634 0.247397041485064
"FIA1" 0.0994806490979812 0 0.0982493591993088 0.101431480979695 0.0653999298176459 0.122914015150279 0.0822197111820772 0.125062868743618 0.126695597321768 0.179798680946299 0.169476685653552 0.147870362942129 0.190411779042502 0.205016063676513 0.164770068232712 0.149065628495852 0.17210069224192 0.226102922741956 0.145463870881643 0.202887666087979 0.225397755931045 0.232912289561516 0.206990871119608 0.16356749287516 0.237624670843304 0.176939521412692 0.262398465337532 0.223819100755832 0.223755582982778 0.214529856734315 0.161787773914473 0.185953209111041 0.172738101959541 0.227637280336199 0.182335310921369 0.202442471039003 0.157069932756086 0.194009115957456 0.141446857852122 0.236125527594447 0.199897967303258 0.233428388566101 0.23734362532375 0.17786590396385 0.252369304404484 0.228161571555253 0.127723266007515 0.245124988561402 0.250933103311486 0.255124239944406 0.239929935486852 0.135458371318685 0.148186717051779 0.19816256648734 0.134379304939248 0.154693290763795 0.202092812259741 0.147638977648035 0.19493911179608 0.219860199786204 0.187864718537802 0.21151092669472 0.157916305524278 0.193785318397536 0.181235109968864 0.176265644152693 0.2032253335774 0.195249624257542 0.183572434685412 0.214124732542456 0.181414401422116 0.190291540488481 0.200001741585469 0.188122643293598 0.20944415239714 0.169290396887569 0.250265967267644 0.176868484936853 0.192821698245074 0.173207425307421 0.192013986322218 0.16938204750365 0.198679376579702 0.167814124644587 0.233426707449964 0.157804203018134 0.168807209063265 0.184419496427193 0.215067502015125
"FIA10" 0.11070974014865 0.0982493591993088 0 0.147415056519166 0.102974301097773 0.106080933009407 0.121315464087869 0.172394494354383 0.153585686076744 0.214245863007667 0.199405972320359 0.181349394454171 0.222961169116783 0.235537719918326 0.187607956943714 0.178400317360007 0.211973122013767 0.256413963377525 0.174398189638524 0.235450707542134 0.254993573359979 0.260811760866796 0.237412103163346 0.197445001544568 0.263383438333382 0.208077337436218 0.287647208172987 0.251606536107235 0.25199682520604 0.242075592784053 0.212947970890637 0.235854063216835 0.211061776656017 0.266069373246126 0.218714615116941 0.239947301382385 0.211040354008996 0.226746861484287 0.187386263515833 0.263624712989894 0.226621977362623 0.261994085698007 0.263812831932534 0.173019658564014 0.279339488438055 0.25343547607542 0.10971557130793 0.272381208263102 0.277828053135589 0.280935943511532 0.2672026075007 0.173199595776789 0.190980793530639 0.236138440645307 0.180654289021465 0.192940769413321 0.247306107852736 0.171243567761441 0.229386043685512 0.263337912810169 0.226425462641838 0.255506489311991 0.192105025334058 0.237607705490545 0.22015219527483 0.202980512405863 0.245848802327974 0.233209553753331 0.203198231747528 0.259673396219912 0.219860160594356 0.19256342235086 0.200317454170981 0.214044926110422 0.205969160392564 0.209008376692301 0.286501369228711 0.171037914439999 0.233985072630168 0.208109627344173 0.184323744425908 0.189452072263427 0.238218010375255 0.192277225326492 0.274764977125444 0.189474341845976 0.179214406773977 0.226174451763601 0.256190452817144
"FIA100" 0.136634791324041 0.101431480979695 0.147415056519166 0 0.12578879041237 0.147577076010831 0.119114058519126 0.116659307472762 0.124860074575828 0.173263771276054 0.161140296154255 0.123281917834686 0.186652685528043 0.19485080277315 0.161753193158322 0.130097177171849 0.155561379351569 0.214932712590599 0.13980980760943 0.198570725993823 0.220159672763849 0.227559270286826 0.199206359264239 0.149205947002645 0.229441309450667 0.166670542599031 0.254016629276144 0.218560848335737 0.217492009803043 0.204583722376126 0.132546411878379 0.15361651080571 0.151404508640372 0.196355204604996 0.167589534999982 0.162933826768023 0.124088019736202 0.185828944616389 0.122774426691923 0.22751382274267 0.18072392235383 0.227099630223037 0.230248853771105 0.184277565559116 0.24547633130274 0.22280209344511 0.132513009198378 0.237305465647457 0.243697191943692 0.246466806441946 0.232042310368525 0.124342440662452 0.119707264603642 0.180969677558951 0.106693959263861 0.154747282942417 0.171304197054546 0.146047212982251 0.180700860458935 0.167683924505204 0.145820456252612 0.160995002546876 0.126725331433425 0.143130887134821 0.141173584157128 0.153742749120881 0.159099148533365 0.151078610919065 0.1581710080918 0.168473498541833 0.142804021527277 0.178148643132484 0.190291944288569 0.15755238843 0.197161991738058 0.13580528313441 0.20079078128258 0.170685928492431 0.152406176400048 0.143944707720964 0.18820528755282 0.15592136124594 0.160519094895898 0.145936624022123 0.197021510360737 0.138510170724095 0.152951854153693 0.141075564156492 0.166714251498818
"FIB1" 0.0721845693632373 0.0653999298176459 0.102974301097773 0.12578879041237 0 0.109931993024105 0.0783893374222858 0.125944250686573 0.118522461194048 0.177699844982104 0.166267915939581 0.14029319469584 0.187144687938026 0.203753273764182 0.155963218542248 0.159423987234845 0.173206781827784 0.224523753287346 0.147620649744328 0.203816856685268 0.227364922119848 0.235156873122047 0.206662902489698 0.164213785581966 0.238239979114902 0.172359147491916 0.262918022830981 0.22365628447372 0.225521189951781 0.222455014443334 0.183002551892752 0.183451498951227 0.168837988327563 0.24141360340813 0.183535848783325 0.22718314165606 0.161446791804275 0.199097845132312 0.152386992804379 0.236778356498404 0.207719285865246 0.233470258953499 0.23627863530071 0.164791526345808 0.253942543229219 0.227884218786763 0.139979873332229 0.246420219230934 0.252884285274401 0.256352929043093 0.240680695030109 0.130691857333471 0.156644544374914 0.194187192542447 0.152085549825737 0.155636730152865 0.211958518176454 0.141663899039587 0.193107304791366 0.234545473467004 0.199858738550872 0.233270787519954 0.167921795899509 0.207309751667687 0.19029727175557 0.180532147392044 0.220291309861638 0.20681826037205 0.187436789474124 0.226540600460789 0.18720408679814 0.193789836379392 0.200613949802682 0.19556221393971 0.205523605696043 0.18246331082396 0.255618120866967 0.176936335595457 0.203755644621582 0.186588666821703 0.195466392325562 0.18084605062084 0.214980048354083 0.174833559095999 0.250330787924091 0.175450619005883 0.174261022968707 0.211711690041073 0.233526704807201
"FIB10" 0.0785379407868525 0.122914015150279 0.106080933009407 0.147577076010831 0.109931993024105 0 0.0877396715599276 0.172728687040065 0.155088988484821 0.137830801399391 0.131050814792342 0.124367691817382 0.154599242865218 0.164159092738683 0.120833080814847 0.126289226284997 0.163416457346197 0.18468067723 0.122428485367359 0.17274890921808 0.189844163802115 0.19750507444684 0.17317278150495 0.130152507622931 0.20138434747097 0.136877859372093 0.227213688326962 0.189533326131083 0.189699015356642 0.182636833774443 0.202840507364328 0.184307406610764 0.152088724789527 0.26132852684821 0.155642076080881 0.247563655185632 0.16449884663017 0.161485800134481 0.160601133052181 0.201647734614282 0.175306269038087 0.196989903670689 0.200729396854099 0.103483168238744 0.217040218652375 0.192251623129443 0.126392300758728 0.209421653639892 0.216794116073992 0.217576620281266 0.206037499998621 0.122158610817126 0.159240142576341 0.183942264422386 0.141078690010726 0.136981069540935 0.234371545418924 0.115938722186415 0.165056280665291 0.256689502925639 0.222050815961871 0.250504418410481 0.182723040872462 0.230784240270189 0.215532028704661 0.197828271592953 0.237047763934816 0.227800601788524 0.198080026678321 0.254473091339085 0.215424353577214 0.197222532330544 0.201325472427387 0.204804745586542 0.19962242759397 0.201393405001938 0.280141753746773 0.175090337281412 0.228621598629128 0.212482324778175 0.176326420021808 0.202543139818411 0.231071432721094 0.192855645308633 0.274637551573174 0.19532260681965 0.188419235587599 0.231854396588088 0.260708132673523
"FIC01" 0.0684602265394424 0.0822197111820772 0.121315464087869 0.119114058519126 0.0783893374222858 0.0877396715599276 0 0.122415512936877 0.115679474475872 0.136858225682407 0.124329340687274 0.107671044648961 0.147469037477248 0.163806657821662 0.120195005500921 0.110403794650045 0.132412003796491 0.184792470988501 0.101270843802565 0.158374536512307 0.18551758907835 0.194143817987064 0.168531379763941 0.124446543301712 0.197205970561969 0.135436372022852 0.222043055342154 0.184005058835587 0.182388875777496 0.1798731834288 0.161012872405519 0.148675204711999 0.127839106321991 0.224483157002077 0.140129894489612 0.20946313743657 0.126204780660529 0.155155336082081 0.122408982533747 0.194826103949749 0.16178394243016 0.192461688426431 0.195870770647084 0.125642276990928 0.212679476105469 0.187692846665314 0.131501258224255 0.203954574995792 0.211069500290465 0.215060127493517 0.199648369788523 0.0864991392786663 0.120921569152291 0.158357226628308 0.105595531602099 0.111935743775507 0.198509978295443 0.0977948597563902 0.152619421228042 0.224873411321514 0.190965122702421 0.221448346908076 0.165146280443824 0.197782658117685 0.185354754169855 0.182472057893598 0.210735245448555 0.198613399101441 0.187880471851661 0.218705561784492 0.187341698967607 0.198185710792395 0.20584571033881 0.199568767894912 0.208923578636755 0.176573345101772 0.247470737587336 0.17870751478118 0.197440547633045 0.183009183278617 0.189292521551418 0.176899758154165 0.209750954254986 0.176285246323826 0.244054228982597 0.16434294582238 0.174686391760783 0.198362098974962 0.224192135627054
"FIC1" 0.136647233891522 0.125062868743618 0.172394494354383 0.116659307472762 0.125944250686573 0.172728687040065 0.122415512936877 0 0.106347323791729 0.199201905055282 0.189765314618316 0.158522253399667 0.209088685269861 0.219794841346588 0.199142961399507 0.164824800983125 0.177728079208215 0.233819564310646 0.166351755075557 0.218009507094873 0.240517824627557 0.247935400415788 0.222417633174324 0.182549503391744 0.250561507788551 0.201172292156704 0.27364265983357 0.23874037755774 0.237580394636263 0.229782253268994 0.136284052756019 0.146711219689486 0.173920851787566 0.184266164970673 0.19745996091395 0.162884754447114 0.135484185143548 0.212409257695285 0.13180566249358 0.24938880402559 0.211355948755971 0.246890934906126 0.249895835602456 0.207140797221708 0.265337338954181 0.243418951616093 0.154623800643462 0.25812146537918 0.264853022625926 0.268464595694605 0.253783691247342 0.158618952685423 0.127469826428307 0.207949295060571 0.138145405624631 0.173272801081869 0.167019784093109 0.172141024271821 0.205136928134604 0.191244703613252 0.166344951129564 0.196327362873257 0.162045937408493 0.176480864400453 0.167925304438242 0.160061420223004 0.196354341112809 0.169116000971942 0.160614026302226 0.173818529608 0.173107701427464 0.230531916057361 0.243291354984876 0.198844264525362 0.236123888938577 0.181048921373703 0.199177237440641 0.22680514172361 0.183044100513117 0.167840761823787 0.233081607761896 0.187904787808215 0.1989615386236 0.196219457316837 0.232454763534979 0.173233407868252 0.183041194351546 0.181477502450974 0.19474513609517
"FIC100" 0.13555967762992 0.126695597321768 0.153585686076744 0.124860074575828 0.118522461194048 0.155088988484821 0.115679474475872 0.106347323791729 0 0.18978383724204 0.174684217985439 0.164739360699144 0.202045702985931 0.214826419752579 0.170663904130764 0.157032815904912 0.169754810880567 0.235403779542165 0.15277050441369 0.219849803862925 0.236704498512562 0.24292688480277 0.219079276863017 0.17931257204127 0.248132069335125 0.183808359688533 0.272477707888083 0.233949882920551 0.23527657366477 0.231878591531235 0.167553488926721 0.172617824377974 0.191994608031747 0.22194720233796 0.201307600518313 0.201145823985126 0.161785811649426 0.20999211994054 0.155116831536648 0.247979153951352 0.215831916492426 0.245639898224718 0.247791155401481 0.185522357353801 0.263519587953799 0.239325392270562 0.152215294772884 0.256947944388361 0.261517256715076 0.263484143999175 0.252570528513583 0.146321415717228 0.144295616365902 0.211110592792235 0.145015361653571 0.181326321288325 0.192670341694674 0.159814039376208 0.210012943935601 0.219231446560295 0.181894378674357 0.225712209222158 0.170863820177844 0.198285968453403 0.183070215175209 0.181366349460368 0.214872051912754 0.191056978936812 0.179270226862938 0.205102782664448 0.190659133820291 0.228201663915957 0.232056886580333 0.206904361156122 0.235157586916698 0.180947265173294 0.234283400778741 0.214297724248336 0.19763524090732 0.182204065338167 0.225038270820672 0.199921263212604 0.211736543583845 0.186361701613706 0.247689607112569 0.170559087104335 0.178256481530414 0.208930337191336 0.224220815184195
"FIIA001" 0.157082446351772 0.179798680946299 0.214245863007667 0.173263771276054 0.177699844982104 0.137830801399391 0.136858225682407 0.199201905055282 0.18978383724204 0 0.0516956014560241 0.137892123175615 0.0858048210602221 0.0812879592277097 0.0736675409053011 0.102447501904066 0.118075028733635 0.0898157151964251 0.0785234323994003 0.0996304623771503 0.115525979605047 0.122824712533291 0.101525558436761 0.076411878233021 0.128035223679044 0.0651286815250299 0.155635922579248 0.116633000961498 0.117779441496768 0.116791384901587 0.208978044423264 0.159093036889912 0.0923664941647872 0.261394784004687 0.0915544422285548 0.25229670866359 0.157419126189366 0.0986634939684335 0.163317964332867 0.12747429237873 0.105250534712287 0.123327327597602 0.127255842469574 0.0838890887068409 0.143841257742547 0.1207939236163 0.212751235374939 0.135869709561015 0.143464142192861 0.143987155316362 0.132296474622816 0.123986249089242 0.16683274904416 0.116666298499253 0.139691805228107 0.0874040388239605 0.229374580634954 0.106543689861526 0.105596627799619 0.246112746099277 0.230203425707165 0.24388650792735 0.210042176306064 0.227821952625231 0.236487797602912 0.235486656163024 0.242644950682377 0.231449546465988 0.238805912746243 0.250154101891 0.236118810403539 0.227624541390815 0.227742040745449 0.230783346609223 0.220372201214261 0.22692009134117 0.266764145245053 0.223123345988558 0.23611323278463 0.242256658533558 0.224173494434995 0.22961212152056 0.240369957506776 0.229702125130015 0.2662061016709 0.23368176731948 0.233671332238082 0.244656694298321 0.256366008136802
