"FIA001" "FIA1" "FIA10" "FIA100" "FIB1" "FIB10" "FIB100" "FIC01" "FIC1" "FIC100" "FIIA001" "FIIA01" "FIIA1" "FIIA100" "FIIB1" "FIIB10" "FIIB100" "FIIC01" "FIIC1" "FIIC10" "FIIC100" "FIIIA001" "FIIIA01" "FIIIA1" "FIIIA100" "FIIIB1" "FIIIB10" "FIIIB100" "FIIIC01" "FIIIC1" "FIIIC10" "SC93A01" "SC93A10" "SC93A20" "SC93B1" "SC93B40" "SC93C01" "SC93C1" "SC93C10" "SC93C50" "SC98A001" "SC98A01" "SC98A1" "SC98A10" "SC98A100" "SC98B1" "SC98B10" "SC98B100" "SC98C01" "SC98C1" "SC98C10" "SC98C100" "SCIA1" "SCIA10" "SCIA100" "SCIB1" "SCIB10" "SCIB100" "SCIC1" "SCIC100" "P72IA001" "P72IA01" "P72IA1" "P72IA10" "P72IA100" "P72IB1" "P72IB10" "P72IB100" "P72IC01" "P72IC1" "P72IC10" "P72IC100" "P72IIA001" "P72IIA01" "P72IIA1" "P72IIB10" "P72IIB100" "P72IIC01" "P72IIC10" "P72IIC100" "P72IIIA01" "P72IIIA1" "P72IIIA10" "P72IIIA100" "P72IIIB1" "P72IIIB100" "P72IIIC01" "P72IIIC1" "P72IIIC10" "P72IIIC100" "cluster.size"
"FIA001" 0 0.101064768044454 0.0999625497710361 0.142273508587558 0.0779062895902943 0.0901583742782293 0.10265251727322 0.0578984165072895 0.145988591625115 0.14378308311359 0.139453833634681 0.120697460861051 0.117689961354851 0.158122224036924 0.163257830779471 0.137658476397351 0.129432900552761 0.131510089458784 0.177469631665173 0.105705158430598 0.165377474674562 0.180819052416823 0.192503620113344 0.167672014063992 0.128406068104276 0.189434980732204 0.152464747883674 0.206276555570623 0.186929532081581 0.182520195676074 0.181733651656756 0.194323679082338 0.162133760279285 0.117381027393071 0.258066733245032 0.135002904941064 0.245099576250676 0.139434264763932 0.148598388576789 0.143338878317827 0.191465856596612 0.172084210046393 0.186910955393778 0.195484876104416 0.144525435299719 0.200960769955179 0.194962576639825 0.138098762263059 0.194397544937913 0.201222081559207 0.199212594297356 0.192739739036037 0.113638553211913 0.147681022304742 0.136673363574453 0.125858565792843 0.102956794378031 0.220063987926112 0.114772143355197 0.124894331448339 0.246647919201394 0.220132775101667 0.238038973407906 0.182732179089594 0.223101967608072 0.212454719278665 0.197316083074912 0.234662068827391 0.225041575442488 0.206402866046667 0.249301604738002 0.2081023417012 0.188413690067729 0.201231148049935 0.203266811139434 0.193236583718971 0.208498190160008 0.279669222081092 0.177544928772365 0.231252931584736 0.205079516880752 0.161862431784486 0.193124493113949 0.254775048780608 0.196791750479547 0.271239524165269 0.199279931080208 0.17808480203782 0.2289138389156 0.245325765718045 0.103663744109868
"FIA1" 0.101064768044454 0 0.0941559154405925 0.10267991890844 0.072629445968386 0.133000890385896 0.0981454275185827 0.0849498361699773 0.142836301901471 0.136630991551896 0.184135955752755 0.16358972323286 0.146861763713333 0.200559310814727 0.20263334211481 0.181353817348062 0.13763103170171 0.142377621531055 0.222184013336648 0.129273581608956 0.202719630491915 0.213690371076979 0.226854303567327 0.203153479625936 0.157881320414885 0.225636058545504 0.187944217614214 0.240938813934032 0.222214744038231 0.21966120189826 0.207872146664052 0.161215769858182 0.169880431830617 0.156510221939143 0.245352380748677 0.16408736463613 0.208567172171513 0.132100227992147 0.1769576015079 0.144359202833082 0.226548292878472 0.193616782924631 0.222017426962235 0.229350160931192 0.192820885109706 0.235622908297199 0.230890015419665 0.125303837225283 0.230215893001074 0.235129451858436 0.233514201971286 0.226358185798882 0.130720415280961 0.132344480341807 0.163421634793641 0.106655639631927 0.139914600892227 0.20363769628821 0.15347514145158 0.158060111632275 0.222457677350847 0.198419972801028 0.205559511282931 0.161324150159154 0.201898906472401 0.188182814756914 0.183498134049141 0.206828243926406 0.200360318436142 0.192691399829012 0.22696284925164 0.185507879035868 0.180434365305917 0.206068804096551 0.184878052201141 0.22410869806831 0.182551633217016 0.274574002759173 0.168574887896992 0.210873405049789 0.177260967227324 0.161778792999238 0.176894281193382 0.225749180136831 0.173088071639191 0.243184393630499 0.166014751144858 0.159704029578637 0.189963923230284 0.213645657339179 0.109366907174802
"FIA10" 0.0999625497710361 0.0941559154405925 0 0.137770708654161 0.0904027531480572 0.104653561130008 0.10706289014957 0.0906004920388717 0.167621157782712 0.141553655946257 0.178842103764541 0.156131551174648 0.150893182696444 0.198617174283868 0.191873809168434 0.175657775148553 0.136953908821359 0.154351890160978 0.211960470788533 0.124685206382316 0.197663264726809 0.203262833507416 0.214159428479521 0.196427953449096 0.15444273697919 0.211368559849723 0.182362815643303 0.226674191923794 0.210200310601676 0.210400262070616 0.19345447152668 0.201020070555982 0.192149340164246 0.162645610288189 0.273239868818518 0.168460701645342 0.241328712376656 0.167792846353147 0.171212734931414 0.16347860237835 0.213876743921556 0.182898966099271 0.210944141792376 0.214165277369033 0.159664619969756 0.222532679470987 0.217696699836283 0.117601297334586 0.217550473224299 0.222166981675202 0.219154113290707 0.213755720323867 0.145167334354878 0.156384206019785 0.169308369637905 0.135435106887415 0.142415001508848 0.23194173906676 0.151330726417818 0.160621984737582 0.257775430554856 0.226539869627575 0.245056634865926 0.198455391326431 0.23901019873415 0.223490049928568 0.208001548386016 0.246752288399052 0.230341026841689 0.211088118351253 0.262417397069503 0.219610840003015 0.197627279936626 0.222478495364115 0.220040992860776 0.227059525299965 0.218226240438512 0.295557384377048 0.193708874654416 0.244911448927727 0.208631146366734 0.165721091199092 0.193943624883885 0.263515269610946 0.211898545779369 0.279995148783797 0.196294372879322 0.185783446701666 0.225003209515763 0.248583216425522 0.129129222389899
"FIA100" 0.142273508587558 0.10267991890844 0.137770708654161 0 0.132012146091244 0.159972953158671 0.122587421150377 0.132096511285849 0.153038986104204 0.149609638906652 0.200234859980107 0.17689148405424 0.136938012035298 0.224932783944482 0.219372555035568 0.193997850045025 0.147331358104567 0.144677234379616 0.23647870042589 0.145931403033188 0.225529550425421 0.235835224232823 0.250076202816848 0.222396068133654 0.169090333562682 0.245900974425546 0.19484633594592 0.261277776449337 0.24563673717082 0.244032543243864 0.223859268982691 0.143597946939183 0.16365091885635 0.158587294147272 0.233495339192576 0.174977527399835 0.184462582564908 0.120875716362383 0.194094917531024 0.138766230459897 0.245164963651823 0.203693165724589 0.244502527710938 0.248408512725311 0.214156207020185 0.256021846698705 0.253458822762046 0.130899472324686 0.249805184862687 0.255611422268148 0.252466388048919 0.24534258373049 0.137687739817737 0.126511637102454 0.170406644037522 0.10600921598797 0.161618664777937 0.189978243801424 0.170260360006965 0.170402283267916 0.184128132754665 0.165065472528724 0.169668211787743 0.12810553847397 0.161765849918537 0.152182137102941 0.161617794236624 0.171550399277608 0.163148829103272 0.165371992490875 0.195001226960038 0.148110528434353 0.171948294913089 0.198232596110383 0.159341781774641 0.215622702124392 0.146415603521417 0.241849184295842 0.160495894201627 0.172735285953079 0.150537863004744 0.154619114603464 0.155105602489102 0.191830371444044 0.144367254179169 0.217176089697732 0.144122684197887 0.136048168600481 0.152575725201692 0.181117807966342 0.0995819325955494
"FIB1" 0.0779062895902943 0.072629445968386 0.0904027531480572 0.132012146091244 0 0.12175903938553 0.112451214915359 0.0725944760104117 0.134394411239569 0.122508657088034 0.171385273074392 0.14974535077536 0.137369127676366 0.189220821820402 0.191056050318197 0.171073100906098 0.147414183178432 0.139717705105923 0.20973044841483 0.123743452694596 0.195713550391517 0.2055413918588 0.218805149911801 0.192600591348107 0.150940956380609 0.215763359082183 0.175454743596455 0.231158564613614 0.212155769796282 0.212866871845529 0.208015792930166 0.180842582520488 0.159671233368577 0.147516148214658 0.247160945764364 0.160086720943846 0.225475035029763 0.13571865658236 0.174055388413996 0.145766071286355 0.216950943941076 0.195040411646036 0.212187005235488 0.218419743073668 0.176559669329414 0.226658588922164 0.220145403703001 0.13396397839305 0.22109640076171 0.226456460886954 0.223976133329578 0.217651255520912 0.129861150793523 0.136747475115107 0.154042397964219 0.129948266281971 0.133107981964532 0.209381856458715 0.142929256713977 0.149868445092326 0.230342144029981 0.205321041667166 0.232763763397462 0.178087379301518 0.212449745724234 0.194896417997149 0.182818846677844 0.227466780198617 0.208201842269304 0.189956391576989 0.230813372649826 0.187997247629189 0.1864983539775 0.206270358041272 0.197731224832926 0.213625950718289 0.200185115213399 0.265415732267551 0.176783827689779 0.214832246061691 0.186967111405867 0.165629032428469 0.177252092342481 0.245075600425519 0.19074628294924 0.260024755411463 0.179207149980404 0.162499621466745 0.219120093079628 0.226221805321668 0.109400943404683
"FIB10" 0.0901583742782293 0.133000890385896 0.104653561130008 0.159972953158671 0.12175903938553 0 0.103342937505951 0.0990212007288442 0.192334792814913 0.172606293650742 0.111947898815421 0.0958879767217028 0.134406108735587 0.136977085882008 0.128921530878894 0.115265084894907 0.116437599337394 0.154276044691205 0.148883056503033 0.0890220433756081 0.139144874502372 0.14655631410323 0.158667648096744 0.137021562706001 0.0946567441297796 0.157075360211922 0.120343729606683 0.175573733330696 0.156028313566158 0.155084958349187 0.143550123149369 0.21998575824215 0.195579074077795 0.118653456758984 0.291191456324274 0.112457479602745 0.269889324095995 0.170004598671204 0.114406001196411 0.179977203205562 0.159854302943484 0.141899355141282 0.153944034271892 0.161987639900335 0.0968418027130603 0.168024206433451 0.164574173179849 0.146158742650078 0.162462301405543 0.168510425186827 0.164626019625218 0.160309849070852 0.128106941510754 0.175498535896549 0.129028638968614 0.143187739436532 0.104303448493268 0.252868037426827 0.109006036356892 0.101882703790228 0.271665728818101 0.245124202107189 0.25954636829063 0.201301712000774 0.251322774429603 0.239264704217593 0.228973819595496 0.24673018637834 0.248887103328304 0.225699693472774 0.280482560752657 0.237635299900891 0.191330494707147 0.205423428530985 0.212611762439968 0.192854488625871 0.223632162636159 0.312135032823548 0.182948964740309 0.259418611548735 0.234932876978149 0.156803259110395 0.216654927565921 0.261498158795604 0.20954277529495 0.281091491582247 0.223847720319768 0.208274998571762 0.246442379241783 0.274773813183974 0.112280508113308
"FIB100" 0.10265251727322 0.0981454275185827 0.10706289014957 0.122587421150377 0.112451214915359 0.103342937505951 0 0.0806075352212919 0.161679099382846 0.151449523788188 0.144675928908171 0.124833567554018 0.131850816833377 0.166906261428748 0.16121858874722 0.144761796862254 0.0905322364877219 0.132710158116768 0.175458992301105 0.0978880875694311 0.160330297018692 0.164650463511822 0.177979463663373 0.159112253347223 0.116161563148854 0.175925879298419 0.150738553793398 0.190383950377389 0.174263576984866 0.170935718693984 0.161470619382106 0.180726130912673 0.170225046843707 0.119951117869552 0.264471332691727 0.124577950041057 0.230351790082689 0.142398209638867 0.135485729215417 0.152412340075833 0.176580332754959 0.131603235008231 0.173393341721201 0.181138942485897 0.14875401660026 0.183995228831731 0.185029229665802 0.131676454738496 0.180779214446455 0.184160642476042 0.183946212984115 0.177783089457296 0.11195183884125 0.133208710520873 0.135151052543774 0.0996536719706006 0.107340323991707 0.228451521063394 0.117573964062706 0.115427357204453 0.246894785458623 0.221209171304796 0.228275169919789 0.180646030691365 0.227527820474064 0.215021545531587 0.204642272280075 0.223530612079681 0.224401712583345 0.210860313950358 0.254246294893561 0.214259705024698 0.179043579056854 0.202079214110265 0.192408718996354 0.207870718018466 0.205240356516647 0.293474044083096 0.168895644273863 0.23626879141423 0.207297751327403 0.15280280608216 0.195651170519503 0.235763618017219 0.188658675939234 0.254595737098538 0.194048255866242 0.18044140598293 0.198791912243161 0.234869424771566 0.0935790912758549
"FIC01" 0.0578984165072895 0.0849498361699773 0.0906004920388717 0.132096511285849 0.0725944760104117 0.0990212007288442 0.0806075352212919 0 0.140108030414991 0.12774786604347 0.145474399173746 0.124320397568945 0.124717146874242 0.164495589847073 0.165811947260209 0.14577122585475 0.114766083858105 0.119834156842116 0.184639070411285 0.0932619423491186 0.160511434588926 0.177437850745106 0.191136268648885 0.16845136720098 0.122546208910113 0.18787683104764 0.154020830570059 0.203777110807193 0.185514646390962 0.180240552589419 0.178246536308522 0.170653800656077 0.15049958277132 0.118798868661725 0.244687478676681 0.126925056523462 0.222928782752031 0.123823301173138 0.143275910508171 0.13672972702404 0.1887833072428 0.161095090730407 0.184090871933014 0.191233575192864 0.148323770463862 0.198337091784837 0.193155013911912 0.119323546379607 0.192311486290154 0.19789612650628 0.196151929403433 0.188626548976147 0.104532813975755 0.125022728261684 0.133057549356112 0.105234960413663 0.0995627916918435 0.209061923841311 0.113881376907958 0.121449023240137 0.234208751097769 0.208365869497059 0.23031429698468 0.176377262642782 0.213785980147322 0.200121509811289 0.187379931215908 0.22845669612976 0.212687098986614 0.193527892831499 0.237455458117268 0.197890658944551 0.187101745260548 0.20483592223063 0.199718268346702 0.207895374047102 0.200938284108614 0.273524390489204 0.1735538916818 0.221024615849223 0.190447723309278 0.155882312612706 0.180579911545357 0.243703869527529 0.191754646806547 0.262921706503662 0.175839180350888 0.165519393745738 0.212123065046492 0.231232430036724 0.0907105322893845
"FIC1" 0.145988591625115 0.142836301901471 0.167621157782712 0.153038986104204 0.134394411239569 0.192334792814913 0.161679099382846 0.140108030414991 0 0.0999605737585675 0.241174630816887 0.221218737590529 0.186187439501511 0.255464873778975 0.257008842272579 0.240844062358906 0.192542626901736 0.190157770626853 0.268039827485174 0.192272925728059 0.254828478559183 0.266630114014889 0.278314354017142 0.256374830906083 0.215404686315758 0.275745356755032 0.246672468842131 0.287988297680229 0.274169503584275 0.269323786823818 0.258899979280914 0.151192940050024 0.128462406524384 0.199298160854759 0.185285066326098 0.222842879564427 0.157306087639354 0.144415847748821 0.234863628388858 0.131251280881934 0.27709255872655 0.245598824125608 0.274685423899547 0.282886470511744 0.245192442074371 0.285565590380594 0.284761876270729 0.154442100328112 0.279624095384041 0.286054589654138 0.284216551119545 0.277651764332265 0.187718811042253 0.123704515409638 0.216624545853345 0.159201344095851 0.194724096146883 0.160928500828051 0.212481381108959 0.211372180983265 0.202352272842577 0.1686049260071 0.230683157568528 0.194150061493577 0.217097547687625 0.191830329992868 0.152187082093364 0.234646813470836 0.181665608233871 0.145547209537643 0.177615115716386 0.191717785381367 0.240656898867316 0.268354219486452 0.226930986112635 0.262614881921253 0.217416568000541 0.207110810987648 0.235232561205058 0.222140386508673 0.172088342996322 0.203620331232853 0.184003360463509 0.250918313234392 0.211199552390201 0.274465363526902 0.186523654550151 0.158788441162446 0.213456316330088 0.221446649889705 0.169558555036399
"FIC100" 0.14378308311359 0.136630991551896 0.141553655946257 0.149609638906652 0.122508657088034 0.172606293650742 0.151449523788188 0.12774786604347 0.0999605737585675 0 0.212852879332329 0.191184390230781 0.178716435351044 0.233638693992589 0.230222292714773 0.210944600037835 0.164874153965934 0.167553688905988 0.247724316611627 0.162350804173942 0.234611073193025 0.244447716824083 0.255953449163796 0.234442023340183 0.192984182657206 0.255402065794522 0.21771084018405 0.26977809537159 0.251754473903155 0.252011076056415 0.244829824262462 0.169541016054327 0.135876752432709 0.198603021271759 0.218963305140446 0.207264045041226 0.191466527139842 0.154045317821447 0.21330769220331 0.14421453219725 0.257069033751196 0.231063255263758 0.253569927715951 0.25823955647168 0.220882984393695 0.265596515510277 0.262257030668554 0.148314728942463 0.26083347517715 0.265244400075924 0.261599894682762 0.258018038214103 0.16497208780695 0.130695211416369 0.203957115479924 0.147612384653744 0.18142459638012 0.181260482636589 0.190989049857111 0.198701482048746 0.216525709536825 0.180095549079683 0.247410723945074 0.194718570167576 0.229184694755692 0.19958667514124 0.165049241991517 0.245530171117177 0.193951939945557 0.159909080008483 0.200079725655367 0.202368150462973 0.235867007371696 0.25756245804047 0.220946100968786 0.256630519307284 0.216035807850119 0.237347347350542 0.219968771898209 0.228696228631965 0.185837715749922 0.196485351436796 0.196252519121231 0.258422333681425 0.20921339020749 0.27574815950533 0.187412742377763 0.163249020974007 0.232486426907071 0.239924412957842 0.155100311518207
