"FIA001" "FIA1" "FIA10" "FIA100" "FIB1" "FIB10" "FIB100" "FIC01" "FIC1" "FIC100" "FIIA001" "FIIA01" "FIIA1" "FIIA100" "FIIB1" "FIIB10" "FIIB100" "FIIC01" "FIIC1" "FIIC10" "FIIC100" "FIIIA001" "FIIIA01" "FIIIA1" "FIIIA100" "FIIIB1" "FIIIB10" "FIIIB100" "FIIIC01" "FIIIC1" "FIIIC10" "SC93A01" "SC93A10" "SC93A20" "SC93B1" "SC93B40" "SC93C01" "SC93C1" "SC93C10" "SC93C50" "SC98A001" "SC98A01" "SC98A1" "SC98A10" "SC98A100" "SC98B1" "SC98B10" "SC98B100" "SC98C01" "SC98C1" "SC98C10" "SC98C100" "SCIA1" "SCIA10" "SCIA100" "SCIB1" "SCIB10" "SCIB100" "SCIC1" "SCIC100" "P72IA001" "P72IA01" "P72IA1" "P72IA10" "P72IA100" "P72IB1" "P72IB10" "P72IB100" "P72IC01" "P72IC1" "P72IC10" "P72IC100" "P72IIA001" "P72IIA01" "P72IIA1" "P72IIB10" "P72IIB100" "P72IIC01" "P72IIC10" "P72IIC100" "P72IIIA01" "P72IIIA1" "P72IIIA10" "P72IIIA100" "P72IIIB1" "P72IIIB100" "P72IIIC01" "P72IIIC1" "P72IIIC10" "P72IIIC100"
"FIA001" 0 0.110840908866971 0.11849717338106 0.157402728297796 0.0832449353135984 0.0945865973593236 0.108902123238245 0.0669370170273858 0.135159769600371 0.141956392383162 0.149440568928156 0.130790373836874 0.139311773100985 0.148401330449362 0.163737336476545 0.145860801962299 0.130927332372912 0.155796520444012 0.186708604716709 0.116217470031612 0.152971203466763 0.183687103302431 0.190174068902543 0.168089962593212 0.140366375307031 0.187052193693346 0.153554713074551 0.214014838601403 0.187352732270433 0.175709647306306 0.190404829792379 0.209780013854255 0.162789136577936 0.121112103309684 0.235062718025535 0.131293147693596 0.25032614881184 0.161286799166967 0.156702012932893 0.146065358666697 0.188885139239721 0.171961180684942 0.18559116117897 0.18445168281475 0.143564106008309 0.196555673882968 0.192636144431491 0.15481355733692 0.194268146812325 0.197034856305503 0.193494378835151 0.192901405720033 0.116206439708284 0.150844191146584 0.148245511469742 0.144703528118451 0.11310082746205 0.21805705603902 0.112464372712033 0.126953819536756 0.261285817224172 0.222656173988118 0.273528308145407 0.203878659557309 0.255229940315691 0.237497844674562 0.20095171527533 0.259434133668164 0.237452354348361 0.205183329757628 0.255604454280048 0.232747948704473 0.189582342666511 0.20224686590927 0.21973280663113 0.209132730420673 0.232505067842091 0.267774898565323 0.173153318566275 0.253049010450618 0.232543880866859 0.183361572493773 0.214336609453397 0.275338022604493 0.21538049499222 0.291261138676816 0.23133196216724 0.197385726295941 0.252390863495101 0.278551296788001
"FIA1" 0.110840908866971 0 0.106787563781005 0.109856377281711 0.0703143170845473 0.134776902535415 0.101857650948083 0.0838357390561278 0.123940539935842 0.12485437017747 0.186038168465997 0.166997009402263 0.166459153445032 0.183178465435282 0.195952900144657 0.179597448866514 0.140313867562806 0.155977747174572 0.221930404327263 0.132093170704513 0.182171670711132 0.206051257653063 0.214133330318769 0.193359772858095 0.159220289013692 0.212383487238438 0.180693872185816 0.238246334466413 0.212718309832187 0.203249875138768 0.203914748653312 0.169678112133544 0.162338347227856 0.152264366697311 0.213318370866199 0.152548581836177 0.203186026081645 0.14685904901114 0.174765480644895 0.138956589553979 0.213130782191039 0.188709939857889 0.210156006408758 0.208596389587288 0.1884577277838 0.219788056934243 0.217050328017561 0.136513373918404 0.219197264700524 0.21919772185665 0.216141151097601 0.215306143914041 0.12821102805867 0.127704184527612 0.15843212318357 0.116869509967854 0.1403261362223 0.195662584931105 0.15205935920544 0.153305203643548 0.225438968930619 0.190808134280544 0.229952988385082 0.174219328914114 0.223969965546851 0.201645107390311 0.179001335295609 0.222584243319193 0.202493410565686 0.18266014770227 0.221794027759639 0.201195768441744 0.185680557265021 0.204622134292609 0.193559024383198 0.229716325103092 0.198017840765398 0.251960554872036 0.160927158185204 0.222016610490387 0.192177538182163 0.187413678526216 0.19377379179716 0.237552150346857 0.186483769416554 0.253568478571482 0.188417896669584 0.170661387171267 0.203244895989165 0.233276386098083
"FIA10" 0.11849717338106 0.106787563781005 0 0.149467870681327 0.103046454759745 0.105565201370749 0.119289178420542 0.111691672639497 0.161775359040185 0.142395653712779 0.192190053066649 0.170909977368596 0.178927835425694 0.190870224132657 0.19840187934422 0.182123956641214 0.149051848843856 0.183072392477308 0.226592760315292 0.134322710835925 0.192058734023635 0.207746343758873 0.21390298933993 0.20061003233853 0.171697608734427 0.210501899451002 0.188057724736168 0.235491237586892 0.212979467662422 0.209519550241711 0.203417612260352 0.221289191028518 0.202764739210173 0.169936558934848 0.24947092147192 0.169970636202549 0.243561022322696 0.198912539880696 0.182403870731231 0.172115316304886 0.212396547724479 0.187787696144752 0.211097064330032 0.20708346250473 0.153131298414898 0.219013291645585 0.214842375345193 0.12497318807414 0.218824886213464 0.218523249093854 0.214192937487227 0.214307494378342 0.158471907293607 0.160092591569699 0.180409736987699 0.155646730965094 0.156297693191272 0.231421888862404 0.152344761082944 0.167510161548243 0.268578118652861 0.227319277272475 0.273637241672729 0.220250900330675 0.269964023969434 0.246153391351951 0.214741706411128 0.267082361382276 0.241106901579529 0.210162602459774 0.267628380972346 0.244144355085626 0.200300561039642 0.222328501859958 0.236242067945102 0.234660112664341 0.240327219730596 0.279096658403549 0.183615605469305 0.264961320098325 0.229945508299973 0.193559943099933 0.212332569666689 0.279560195706182 0.224889023439008 0.294417269111882 0.224931713079923 0.201649960393158 0.244916368735493 0.274774758597381
"FIA100" 0.157402728297796 0.109856377281711 0.149467870681327 0 0.129819759206613 0.168604291796098 0.126036595887404 0.139078354995568 0.136000004083663 0.136315002658179 0.200771924369123 0.180918640821792 0.148391550853864 0.208388460264119 0.211876324442481 0.190166481648308 0.151160471408856 0.154290075760955 0.234672202392494 0.151527922692351 0.20639361090271 0.226856463591625 0.23717657305139 0.212475836324698 0.170792573977855 0.231804631538705 0.187001533412134 0.258529092622659 0.237075825530516 0.229108165555249 0.220115178812783 0.150898466734663 0.153650034727698 0.150950323602388 0.199801845457466 0.164906031969857 0.173797345206271 0.13148681032784 0.193155338375204 0.133580381886523 0.230786264488933 0.197397631634018 0.231981541596627 0.229805208961394 0.212472217092342 0.239870264110818 0.237915915531114 0.141213532415842 0.238203374516036 0.23949319933283 0.234081195116169 0.233583531133185 0.140831780866219 0.120190522224533 0.163564164612364 0.118695170747328 0.166910979162686 0.178537927049189 0.171253467867641 0.166121557080468 0.180753450172964 0.151705006014262 0.187069303351106 0.138493519320021 0.178672528602185 0.159762227567009 0.150378165104082 0.182892525780909 0.160326935782248 0.149978874086578 0.183823648924165 0.157959646279092 0.165791968372944 0.188396660208398 0.157441375419372 0.214174522552549 0.161746541928011 0.211593891387861 0.148146117910858 0.178907557979711 0.157533723155008 0.177370808633534 0.167614523197511 0.199278221848181 0.153944592594182 0.227872236968475 0.160574935015061 0.138523628856963 0.162784001369652 0.192324943897846
"FIB1" 0.0832449353135984 0.0703143170845473 0.103046454759745 0.129819759206613 0 0.11749788238087 0.114018197836461 0.0738475081145364 0.120421698638813 0.114412126243818 0.16905934915296 0.149372873139448 0.152147667888857 0.167921780553052 0.180517642263825 0.166713240050962 0.142831099503889 0.145049329400772 0.206682231440055 0.122502118579116 0.174418440957507 0.195057545610082 0.202969895464487 0.179879382757038 0.151390903944745 0.199489989138877 0.165880849024947 0.224931452598447 0.199101483398592 0.195180756148985 0.20237976366637 0.193697036543215 0.158088957597245 0.140618832606117 0.220230172758178 0.147012703005128 0.224052576256439 0.154607504190822 0.168839729920296 0.14681503295422 0.200215951385251 0.183022292324177 0.197134143624349 0.194208899155583 0.165048324535165 0.208135648150446 0.203449012089076 0.147660852337839 0.207020439936801 0.208178645789969 0.204572153873845 0.203087494924487 0.121459812160684 0.136597643886165 0.143103537164363 0.132435473528692 0.132130138846585 0.201898920856482 0.135361520272405 0.141404077085143 0.237903128653524 0.200752689497603 0.249556419189678 0.181740871041152 0.231292504856719 0.2119207812837 0.18247420698785 0.235021100697841 0.21320022183176 0.182555449590499 0.229949305387004 0.206787421954065 0.186711093903365 0.200864219625387 0.197353396744765 0.216880104852665 0.205878318632166 0.245584874422401 0.160900809011008 0.22815363358581 0.205362990331246 0.184514445968257 0.195888455867492 0.247226818482747 0.191850332736027 0.262708694667784 0.202451240348136 0.174910713355786 0.223948145571259 0.249085380492348
"FIB10" 0.0945865973593236 0.134776902535415 0.105565201370749 0.168604291796098 0.11749788238087 0 0.117468504031463 0.106197974498241 0.17464989219539 0.1591541213461 0.131265386845879 0.11701531841357 0.148218741789379 0.138053616818928 0.141357553520332 0.131288794231084 0.1180716981729 0.171482058643651 0.169122425784545 0.109237997381982 0.144329640204998 0.159055950708074 0.167249162992491 0.148965640916541 0.117982219199869 0.165834531785607 0.134141214793725 0.193751088695631 0.16803544058063 0.162483633591009 0.163826137965057 0.228233893713031 0.188972672544951 0.14447629198231 0.257165494859307 0.134481295792612 0.262488076970141 0.183996707508584 0.134242899056102 0.175962416497862 0.167988987852157 0.152652201804922 0.163509208807672 0.163080130812623 0.0976212272229353 0.17453959756869 0.171401492809423 0.146696674257414 0.17287132408257 0.175132977472977 0.169107940458953 0.171034111020911 0.142343184922733 0.165243954339584 0.157971360532991 0.157158523463479 0.130206953843648 0.239301971310359 0.116221983095432 0.123522133768559 0.276716479699014 0.237827335657523 0.289177476455324 0.22233102510592 0.27534681464687 0.252369129753782 0.217995152721261 0.274981727031598 0.250930992622508 0.214867265592286 0.273878312596694 0.251617110447189 0.198446191192601 0.206587888786265 0.239727106960961 0.212041588303478 0.246639703291872 0.288682414267656 0.187074503341534 0.272015029874173 0.248189016698914 0.180745146072236 0.227729696308371 0.291493129306758 0.234299141714076 0.310528417077416 0.240716557506275 0.213552161989586 0.263524213640362 0.294848537540294
"FIB100" 0.108902123238245 0.101857650948083 0.119289178420542 0.126036595887404 0.114018197836461 0.117468504031463 0 0.0884075382672195 0.144108121576833 0.14067179087552 0.152339316183234 0.132550971814567 0.145421000123943 0.156614416275657 0.16100958676168 0.149557947371452 0.100790361163953 0.150694503942285 0.185782635372733 0.102401109955452 0.152447363489389 0.165646641951789 0.17426754764269 0.157894180516581 0.124797832418236 0.172119580725346 0.150763645630631 0.195747541919642 0.1725464436361 0.163698816785875 0.166056950864461 0.186734906575233 0.164615385522492 0.129277500040205 0.233621598585651 0.123808313360229 0.223089886188365 0.152462053336941 0.141281321320983 0.146921587398332 0.171878414120045 0.138090066663281 0.170684165626635 0.169147889010361 0.154431391342958 0.177967231793055 0.177052911981101 0.152265835203057 0.178461626528013 0.178130350269737 0.177599842834824 0.176494623554461 0.127148775379208 0.127753392030831 0.151023232575306 0.115255558986981 0.119361840520029 0.219547669983346 0.123010935796525 0.119366449600777 0.250240004429224 0.212117277604613 0.253769862929697 0.199298520877231 0.251878680129546 0.228818360229133 0.197031977706923 0.249656564003028 0.225405021300967 0.198689953398222 0.249872817382864 0.228255813454313 0.183147165782206 0.202588616161291 0.217659042183493 0.220689803118884 0.224744362296413 0.273059175192691 0.173159482448011 0.248497175293122 0.219823131254305 0.18286084600705 0.206944260308649 0.263948438070145 0.213895592280507 0.283652316207375 0.214671506970818 0.192286896946857 0.215998802968622 0.254663306745241
"FIC01" 0.0669370170273858 0.0838357390561278 0.111691672639497 0.139078354995568 0.0738475081145364 0.106197974498241 0.0884075382672195 0 0.125054008307509 0.121754597112578 0.154422723198716 0.134238955998104 0.148068329269911 0.15087239112029 0.166846211883022 0.150006643091371 0.120071699946366 0.137096168427172 0.192730170288748 0.10369284553604 0.14499068032293 0.177148214998358 0.186173596297673 0.167290418236938 0.131421528774855 0.182149574261897 0.15478957689543 0.207810662374125 0.183121755373248 0.170617543820948 0.18384107076922 0.181716046651873 0.147663979149067 0.118578901541168 0.216919977060975 0.122751087426877 0.223734473564309 0.13949286550377 0.149408832686444 0.135346795797948 0.182660966232221 0.161642058491539 0.179431480054352 0.177359180655057 0.149976097887946 0.190453980817947 0.18709908255596 0.136689882181897 0.18841565871409 0.190014864556394 0.187264833296482 0.185536195985305 0.0995303111811998 0.124142324452858 0.134224602437171 0.114246539476797 0.105051429820649 0.204040779281926 0.117196957693118 0.122901985875718 0.244507050936763 0.206794389762657 0.256700291449962 0.189350307030139 0.240815278275034 0.219564550541601 0.187824778251399 0.243758507885004 0.220825787797958 0.18806017153004 0.238222761391525 0.217154506604358 0.192135817892268 0.20597468820187 0.207158253470878 0.221965271999266 0.214543713544053 0.25591595100051 0.16499528646838 0.237213314229362 0.210354165878268 0.1811738568306 0.19740911940161 0.254707051678621 0.200366050433378 0.270969437184328 0.201645089548357 0.180094145174283 0.225883691268999 0.257270150220503
"FIC1" 0.135159769600371 0.123940539935842 0.161775359040185 0.136000004083663 0.120421698638813 0.17464989219539 0.144108121576833 0.125054008307509 0 0.106129277158819 0.220766017570585 0.202412332901412 0.177766310994178 0.21427301665481 0.228617344868848 0.218815652298112 0.173840656291037 0.176767710957841 0.246474887951278 0.170399408315298 0.212198924549414 0.239401329695862 0.247453712555417 0.225986265049725 0.195744149609773 0.243421133666956 0.217986934354532 0.267436177134219 0.244931396159145 0.232944830807658 0.238665455563235 0.149837581877553 0.132186340564995 0.168322720628577 0.176655756218268 0.186001099975007 0.17818665647254 0.126002030349229 0.212188708390739 0.138103601156533 0.243692877956912 0.218996600506211 0.241766901034441 0.240135462515438 0.221787487622328 0.250719712115968 0.248176822491617 0.150463559034064 0.250041689901306 0.25127983472415 0.247697358277352 0.248153325928391 0.160215084889751 0.121468012794618 0.188525790479653 0.134478570038539 0.170935741417099 0.168366507322066 0.187881562990451 0.183752532558733 0.203572480476949 0.166113766331441 0.214857981807875 0.167392705079738 0.202466774206916 0.182711049250958 0.153978427672709 0.207299827123435 0.176944335136888 0.149857917379868 0.197373177506889 0.179787090355636 0.213619091086745 0.237765978118536 0.200353780335892 0.242787201413128 0.189237098603257 0.209360912209165 0.203605200699842 0.202110999837335 0.171322611650234 0.205959090645763 0.195171567596569 0.22401375878092 0.187727120688986 0.248045939453387 0.180887147738141 0.167247416617714 0.191553516864686 0.217144592657346
"FIC100" 0.141956392383162 0.12485437017747 0.142395653712779 0.136315002658179 0.114412126243818 0.1591541213461 0.14067179087552 0.121754597112578 0.106129277158819 0 0.197270677546752 0.177218829675615 0.18087556258202 0.200577573229342 0.208331564527736 0.193930579423093 0.151187834473319 0.15902817413746 0.232597556750838 0.14881726580676 0.202936190824046 0.222180609952053 0.228978271860349 0.211608350585306 0.182439148008697 0.22868146445094 0.193621117677157 0.254000467573514 0.22886760502569 0.222922307353867 0.228741249363286 0.177861500702529 0.14818271463377 0.177721981304412 0.20409463460892 0.180962772801052 0.203776246464187 0.148056571574017 0.198175377681236 0.15502095152831 0.229836651555787 0.208398218171359 0.228170040964256 0.224264983969071 0.201314226220816 0.236106230040535 0.233618385760503 0.152182588929273 0.236268522836725 0.235231042256384 0.229234579586855 0.232850470490201 0.14870882436189 0.129658309996229 0.179298093984551 0.134326169564078 0.170696633447656 0.184505928072344 0.172388433799215 0.178002104567996 0.222424009200681 0.184452822288735 0.23467878929867 0.170750797577366 0.218528912991264 0.196522355254547 0.170186327783211 0.221659839818173 0.19783533909443 0.167536627436798 0.213448648757023 0.19470536635713 0.214341977508023 0.229452861089306 0.200150492839535 0.24365721009623 0.192039118956437 0.228266267114725 0.19190646334429 0.213035668552102 0.185729407209051 0.200063824245395 0.20623190142506 0.230402173292336 0.17970884615764 0.248117339940858 0.180709680500646 0.1696612610046 0.207836733596363 0.232317851966702
