"FIA001" "FIA1" "FIA10" "FIA100" "FIB1" "FIB10" "FIB100" "FIC01" "FIC1" "FIC100" "FIIA001" "FIIA01" "FIIA1" "FIIA100" "FIIB1" "FIIB10" "FIIB100" "FIIC01" "FIIC1" "FIIC10" "FIIC100" "FIIIA001" "FIIIA01" "FIIIA1" "FIIIA100" "FIIIB1" "FIIIB10" "FIIIB100" "FIIIC01" "FIIIC1" "FIIIC10" "SC93A01" "SC93A10" "SC93A20" "SC93B1" "SC93B40" "SC93C01" "SC93C1" "SC93C10" "SC93C50" "SC98A001" "SC98A01" "SC98A1" "SC98A10" "SC98A100" "SC98B1" "SC98B10" "SC98B100" "SC98C01" "SC98C1" "SC98C10" "SC98C100" "SCIA1" "SCIA10" "SCIA100" "SCIB1" "SCIB10" "SCIB100" "SCIC1" "SCIC100" "P72IA001" "P72IA01" "P72IA1" "P72IA10" "P72IA100" "P72IB1" "P72IB10" "P72IB100" "P72IC01" "P72IC1" "P72IC10" "P72IC100" "P72IIA001" "P72IIA01" "P72IIA1" "P72IIB10" "P72IIB100" "P72IIC01" "P72IIC10" "P72IIC100" "P72IIIA01" "P72IIIA1" "P72IIIA10" "P72IIIA100" "P72IIIB1" "P72IIIB100" "P72IIIC01" "P72IIIC1" "P72IIIC10" "P72IIIC100"
"FIA001" 0 0.0336187021690599 0.0278767852842702 0.0503781343121406 0.024451313616366 0.0271564141859322 0.0362128890242952 0.0208095685330239 0.0571755038312564 0.0502736198774886 0.0483361315710853 0.03244228570705 0.0346230664969637 0.0633150686918855 0.0588121011736674 0.0448944440832045 0.0442050982687388 0.0499039925565705 0.0735139283574594 0.0270033000339456 0.0634468868110111 0.0690943557680927 0.0740804678325897 0.0601768778612339 0.0363290744244843 0.0738120161520197 0.045044360318427 0.0760370700657428 0.0702193677692777 0.0719318613089741 0.0678058761728852 0.0855693981678518 0.0634047468837292 0.0289104190447094 0.107281774967409 0.0340135779898127 0.107554138673554 0.0581714103682191 0.0499349839955702 0.0494901626749978 0.0731777910515907 0.0817991252886743 0.0720371013851162 0.0708594410589292 0.0450053217267376 0.0798690523968299 0.0719595503989143 0.0497515244016373 0.0746396661182676 0.0803558248782001 0.0790767529767137 0.0685919940051111 0.0341914002143276 0.0602013276356133 0.0469127442372841 0.053692592165256 0.0277632883526144 0.0958262251488755 0.0278929966811143 0.0315523813227595 0.102949140518396 0.0805585157838772 0.104416592668138 0.0647053342851677 0.0934040879137165 0.0844520841176404 0.0695171139456006 0.0957438000626079 0.0885202854548564 0.0693914975481844 0.103745406247225 0.081130967986334 0.0473370292159406 0.0556797382197581 0.0730176667694128 0.0675965671082281 0.0796125197633463 0.113560284340838 0.0405292556667155 0.0855991423514117 0.0801074028294026 0.0486347970264141 0.0619979832156168 0.094660209636466 0.0685330400039389 0.112798468788526 0.0781220489932724 0.0598887291816569 0.0876625268572794 0.107524180309568
"FIA1" 0.0336187021690599 0 0.0248357243508201 0.0294269512369492 0.018376656762238 0.0418617091593827 0.0356136092141907 0.0209802506353776 0.0427237456719519 0.04099221937853 0.0716074080232973 0.0550235484765432 0.0512772099815528 0.0842513083677923 0.0789158837203602 0.0675757083706821 0.0472792515966076 0.048960476408592 0.0978620948020759 0.037667059849835 0.0830920045638909 0.0848329575040952 0.0901495042237481 0.0775774497604896 0.052063266792548 0.0915754262666422 0.0656314721992141 0.0925785558901986 0.0868567653739796 0.0899822092728039 0.0741857656153603 0.0705778013165349 0.0644322885531014 0.0454669813179952 0.0982770255824264 0.0507808981235895 0.0895913211642291 0.0549687659150895 0.0616830435713158 0.0423282867594173 0.0902050599709331 0.0853787806427785 0.0892563596917062 0.0877117303997339 0.0641385285782927 0.0965008101516788 0.0889597269551024 0.0302755198581681 0.0928409508623379 0.0964778141834061 0.0959940058346519 0.0848800759976496 0.035420675641353 0.0412823045721379 0.0478978650860649 0.0330842650507867 0.0457487301154888 0.081928723918737 0.0435266537126741 0.0496935612764828 0.0893038194028478 0.0665262766955159 0.0882898013868199 0.053045156144956 0.0856652407995364 0.0736294365114951 0.0569134253606736 0.0826402937633615 0.072738997723299 0.0573348671518462 0.0951144644729959 0.0750192210813041 0.0537935446645421 0.0627844233901725 0.0623233659381393 0.0790746764162931 0.0682947457397647 0.109527148559701 0.0393414413771037 0.0787659589661369 0.0677021253584501 0.0596595589203381 0.0497029720398731 0.0849874181319241 0.063265583573003 0.102505870891645 0.0648629724669236 0.0492389552799846 0.0650471365685174 0.0892827366937582
"FIA10" 0.0278767852842702 0.0248357243508201 0 0.0446848966090309 0.030170286628055 0.030487398747588 0.0305347451257391 0.0275388330652701 0.055896212925786 0.0487711780775993 0.0627126125057411 0.0452422780228751 0.045403302094071 0.0753842981977587 0.0678069552076734 0.0573826003561868 0.0416284808084598 0.0602509527927708 0.0863219608857591 0.0294340971582194 0.0739336594170519 0.0723531788877796 0.0765499128126717 0.0672516985257618 0.0435922957095648 0.0767363876802257 0.0559133513050122 0.0784092379463431 0.0740043526242244 0.0774784543749248 0.0622969396082703 0.0828847350012361 0.077875487407314 0.045210267379437 0.109345185578232 0.044855485580717 0.0986810199802612 0.0704470769691329 0.052984040780707 0.0553454685003904 0.0773351942661243 0.0769351129580117 0.0773537327123891 0.0757735431686418 0.0511868695160513 0.082158256111539 0.0747932953362096 0.039122200512446 0.0798323109594808 0.0823652263372414 0.0811203135817773 0.0716023073699575 0.0468990473168083 0.057098942493241 0.058208496427726 0.0505245313265394 0.0397705371005036 0.0939364673546288 0.040849960480008 0.0428307972744651 0.101485834000999 0.0781523708284312 0.101139920993405 0.0653592739345304 0.0967972249749173 0.084098476518965 0.0686462753224693 0.0942517069001167 0.0859155238006246 0.067440869622723 0.10621746173769 0.0860925523354693 0.0508307773515923 0.0598033714680174 0.0741930839051118 0.0719584487193425 0.0789536342549964 0.118436580092216 0.0434609966051466 0.0897546062908597 0.0788353163922541 0.050245586788086 0.058323839047596 0.0965372914745332 0.0740439397028352 0.112108271984645 0.0741865526012343 0.0603262357799197 0.0795143613284784 0.101423772486303
"FIA100" 0.0503781343121406 0.0294269512369492 0.0446848966090309 0 0.0352241711486738 0.0590296924500294 0.0457359245851502 0.0414747102730021 0.0422786493321783 0.0429220477572059 0.0855488335368528 0.069255517276392 0.0585985374660374 0.102976443718039 0.0939620778221061 0.0828656221124437 0.0532020779323847 0.0475949616723575 0.11291691291341 0.0531302042839521 0.103174214978825 0.104691283826894 0.110803242951298 0.0962223082754551 0.0678316462759357 0.111677565972915 0.0760481838090947 0.113063165326526 0.107875411707593 0.111275301283396 0.0920675788930862 0.0687721443855574 0.0617362919520455 0.0573407674296231 0.0969519257452463 0.067090436638751 0.0865918099925149 0.051162419938303 0.0793102951591376 0.0412435433550178 0.110601020563514 0.0945846627419856 0.110463392653677 0.108801506379293 0.0799982285798424 0.118201445311709 0.109514717429435 0.0320132263328885 0.113480533105423 0.118528664816778 0.116274486909297 0.104575579088872 0.0423360151119192 0.0309777115753616 0.0564361226923741 0.0256603013579877 0.0633852776158749 0.0790378567377196 0.0586633606542059 0.0646017614827757 0.0792538455168649 0.054448643004383 0.076827177602936 0.0443458364800511 0.0758895823251181 0.0641767988293619 0.04900644046036 0.0750784044377866 0.0615735120097413 0.0507422573270831 0.08682286515188 0.065632650911925 0.0584014870502684 0.070239476997466 0.0554281872315929 0.0844202267211436 0.0593929835529747 0.101669867465914 0.0452237989649585 0.0693102226302742 0.0589238145471268 0.0698022191423299 0.0540709719337813 0.0773677201584396 0.0563159241943094 0.0969350642456448 0.0605039463156155 0.0434796054540931 0.0497033153300512 0.0743844918597018
"FIB1" 0.024451313616366 0.018376656762238 0.030170286628055 0.0352241711486738 0 0.0389681137626237 0.0442851277290999 0.0188576022680771 0.0450114841625629 0.0357265162605647 0.0629293514335145 0.0455023528385076 0.0452717111855656 0.0758224523071889 0.0718562802169039 0.0584257530449714 0.0546022139151869 0.0399605911419896 0.0893214361983691 0.0360860715949754 0.0774239122753015 0.0795635399823038 0.0849527872738274 0.0706934759640271 0.0463007729654961 0.0850775773645044 0.0568961691008439 0.0864196446196229 0.0806018706558219 0.085006325926012 0.0788327296263539 0.0743376731384818 0.0545158634745004 0.0358826726481307 0.0962029451083628 0.0442901273815596 0.0947007043429482 0.0483078447219675 0.0590343806298751 0.0418994446918004 0.0834944887532681 0.0930119174526186 0.0831116320734726 0.0808755666750525 0.055716798188149 0.0908397572173558 0.0824329514785284 0.0389485674443582 0.0865478527232281 0.0910123115310873 0.0901585954765875 0.079128127827216 0.0254058518231134 0.0474253122658388 0.0350076109913349 0.0409063991606766 0.0387909374691216 0.0820557055085058 0.0363662083193371 0.0409165266490028 0.091224704606486 0.0690192650793837 0.0932267069660034 0.0526774728493148 0.0806836530894264 0.0709867487309427 0.0577372120801467 0.0844894230014683 0.0766492492303349 0.056211949659137 0.0906990753010042 0.0689144475925595 0.0558216402874667 0.0633532281917362 0.0614814009217623 0.0776655222087494 0.0661482899139951 0.10102455338504 0.0339670221556924 0.0728012516193037 0.0677303078776513 0.0566182019487427 0.0486674718085611 0.0795762305322448 0.0559379152798461 0.0966109739702505 0.0647284256075226 0.047257575847498 0.0720986548534532 0.0937943772029034
"FIB10" 0.0271564141859322 0.0418617091593827 0.030487398747588 0.0590296924500294 0.0389681137626237 0 0.0357151010419214 0.0326445775804179 0.0697036470606981 0.058771494777416 0.0387097465186972 0.0277202557249132 0.0429145102495656 0.0531562138006294 0.0455044015173868 0.0363901140931078 0.0299134999227945 0.0632499771276823 0.0643417093954892 0.0296458451096472 0.0534919230622008 0.0543313315170273 0.0594341163389075 0.0473604470426107 0.0233816971883313 0.0598472916882088 0.0341687203943697 0.0627231273495672 0.0575572840362871 0.0600016545032749 0.0499623575361932 0.0961763925736069 0.0813862158740595 0.0466005498884862 0.12076286984519 0.0393938770019989 0.116565036779092 0.0756462992099392 0.0331706377964503 0.0652102867047535 0.0597431401293277 0.0654162683022599 0.0579790679311571 0.0568582990704386 0.0309570474705487 0.0655511681026624 0.0586839479777701 0.0562830137801742 0.0608188353434211 0.0658617063163113 0.0635419837707539 0.0555709489329278 0.0503206489250421 0.0668308218941722 0.0618971191953449 0.0606625850890537 0.0400030418598113 0.108353600869342 0.0395547747963865 0.034588627558518 0.114809665573883 0.0924810996767113 0.116424717564847 0.0771700625877155 0.106876524105894 0.0946266820149854 0.0816721912584374 0.107797901855068 0.100179934203475 0.0777341568291697 0.115720532433427 0.0956039348371775 0.0569417087899348 0.0618319552530709 0.0857834158064808 0.0661701760217314 0.0892263445965856 0.129115852920477 0.0516356209718807 0.0997183484474132 0.0920462521520568 0.0428655941706059 0.0727873575537294 0.107177991794776 0.0849384312740513 0.125849045185499 0.0885118259763285 0.0719412746988863 0.0969351032390227 0.119221525399411
"FIB100" 0.0362128890242952 0.0356136092141907 0.0305347451257391 0.0457359245851502 0.0442851277290999 0.0357151010419214 0 0.0352946853231054 0.0661245395608002 0.0626992775554353 0.0627699908471431 0.045616079645134 0.0523212442108187 0.0776780118775525 0.0686926319794814 0.0595489854289044 0.024852648288831 0.069225064642288 0.0874337176019631 0.0320559533017707 0.0740121262356468 0.0719232928475801 0.0771450559214774 0.0669071676524156 0.0417057528065417 0.0779566051127981 0.0576707404436064 0.0790803278791676 0.0746070862892839 0.0774542455806971 0.061385513183571 0.0926429945770152 0.0848755417654696 0.0506706414967332 0.123423404210542 0.0439477440771778 0.111737528142605 0.0770093355243953 0.0513047483071116 0.0631901796902434 0.0769206964109174 0.0573961054278956 0.0771702008466571 0.0760699717370814 0.0565503128416899 0.0825454951846141 0.0757256246408964 0.0525383768383172 0.0802894239155565 0.0827125453259645 0.0829957156094007 0.0726569524934674 0.0539648865491233 0.0478974861518583 0.0670539133474626 0.0446538794244803 0.0449717110233526 0.106852715118251 0.0469998888499715 0.0403363309451118 0.114135295551854 0.0876288443844967 0.109573546184855 0.0783802377412026 0.111703607560106 0.0991214041564628 0.0791341024574049 0.10808977677777 0.0948085730841564 0.0807860256306863 0.121378812134507 0.100569413042397 0.0568574616491661 0.0682641952839984 0.0878385696231709 0.0694974757683622 0.0942686767647649 0.135755016941665 0.0584690472662856 0.105099689392935 0.0934630778538313 0.0569708524712828 0.0717916185257243 0.111466431219583 0.0901890115249602 0.13097499715119 0.0895804951803701 0.0744663717870584 0.0774945310173323 0.108524831614424
"FIC01" 0.0208095685330239 0.0209802506353776 0.0275388330652701 0.0414747102730021 0.0188576022680771 0.0326445775804179 0.0352946853231054 0 0.0491748002294103 0.0396232717817591 0.0586482333797047 0.0415774005933372 0.0430184607966035 0.0709498402610951 0.0657941984792779 0.0550817494469115 0.0458211108006099 0.0442995004864563 0.0851301927373454 0.0269434820970969 0.0671825292517069 0.0726691406851209 0.0780766484081886 0.0653163435280516 0.0386659379515507 0.077756991573234 0.0535739298782329 0.0795879559499355 0.0743198876491947 0.0757939194857361 0.0691630804081106 0.0748010532307506 0.0582576088256267 0.0304162219001395 0.101528784681182 0.0366971159600191 0.0969203467850958 0.0532273819597558 0.0512981561470537 0.0442797496324877 0.0763316086816506 0.0823669731855584 0.0755812919847421 0.0740878856689904 0.0512451537633126 0.0836347515654493 0.075654998736569 0.0375477257017783 0.0788048890302978 0.0839419658781129 0.0828461087154558 0.0720315743817894 0.0277978087951821 0.047486581865879 0.0403928031075441 0.0388421773869136 0.0299252453339946 0.0889781983224031 0.0292777821316679 0.0366557199608434 0.0987321784789401 0.0756870319028485 0.0995185638611717 0.060279856963219 0.089569011408392 0.0786298964516341 0.0646156831488507 0.0909028925381397 0.0832020487922794 0.0615616195107555 0.0990696278026079 0.0777196368027953 0.0554325796592996 0.0638769537523227 0.0692620993275994 0.078509457717958 0.0730391804946071 0.111756605648228 0.0378609303189358 0.0822404016591982 0.0741223990890348 0.0530672839052066 0.0540173836583806 0.0884583518655576 0.0661941741406103 0.109156843930539 0.0669749011550225 0.0536937153168879 0.0784742572320457 0.101395247754408
"FIC1" 0.0571755038312564 0.0427237456719519 0.055896212925786 0.0422786493321783 0.0450114841625629 0.0697036470606981 0.0661245395608002 0.0491748002294103 0 0.0285327150244127 0.0984256337008973 0.0824048156071402 0.0712974651892304 0.113469993345647 0.106925808180555 0.095979152884712 0.0766643891389968 0.0547437210017699 0.122464386798307 0.0668251957912173 0.1120049877126 0.114713577535403 0.119995015451093 0.10635607420419 0.0804141329213422 0.120627705789213 0.0920320605026979 0.120561384425727 0.116328943404575 0.118791606202976 0.104170463847926 0.0470030305867211 0.0351847698873062 0.0642704774398237 0.0715686616753022 0.0782636771102784 0.0651966857990414 0.026649691553466 0.09050885984412 0.0375140348945152 0.119858895489819 0.116119527869265 0.119225863218601 0.117589353832728 0.090480202867161 0.126912815380436 0.11873000353034 0.0385592942563801 0.122500306686867 0.127539403615269 0.126920811583315 0.114019697659138 0.0564285043814836 0.0392778174914943 0.0676930078326914 0.0444116875137212 0.0707914257075894 0.0581156050439587 0.0695272925461029 0.0758252455748186 0.064800974256586 0.0411431521054651 0.065870196645737 0.0335272854899992 0.0601237446540256 0.0485977670488798 0.0368701946523904 0.059365066120442 0.0468965814229132 0.0290213153624789 0.0693684164844922 0.0498145670753167 0.0786853389349436 0.08771495958035 0.0519747941704936 0.100611940653469 0.0471234095497046 0.0805154349577815 0.0625070171253121 0.0534515328903733 0.0423237908321843 0.0819606122444514 0.0649768158016341 0.0619746240453653 0.0464597271103916 0.0846297277497807 0.0456397622167288 0.0439303703708513 0.0459892172390383 0.0666840482080349
"FIC100" 0.0502736198774886 0.04099221937853 0.0487711780775993 0.0429220477572059 0.0357265162605647 0.058771494777416 0.0626992775554353 0.0396232717817591 0.0285327150244127 0 0.0852547781169529 0.0678458527873969 0.0695443404937438 0.10175860744746 0.0921009141704501 0.0822989633045783 0.0708383426303957 0.0427325964819293 0.112349816424984 0.055358642512686 0.0994953935536016 0.0989602989202128 0.104371177043888 0.0917501373309441 0.0669619545109077 0.10616351053807 0.0786910877486219 0.107217143373184 0.101618679978486 0.105468016719596 0.0973114760348233 0.055614580632873 0.0403674583120064 0.0618639120840732 0.0823347391608695 0.067845242151321 0.0762022318950695 0.0353451937262358 0.0805340903150869 0.0418868560763538 0.105917806191332 0.111857905741655 0.105574104611646 0.103837036166082 0.0780440859237437 0.112203561451423 0.103774261038462 0.0365297901512801 0.108563060957505 0.112255005909974 0.110130094207927 0.0995446738534147 0.0446920093257819 0.0388854372891513 0.0580953415760819 0.0428198048527858 0.0619410178665595 0.0685717256600002 0.0606636081420079 0.0663947557610802 0.0780692026426547 0.0544596083977564 0.0798892686745498 0.0391755616527382 0.0684681328133784 0.0566326099504158 0.045671137621844 0.0716562354795243 0.0626851034660317 0.0401193462091226 0.0776166753139998 0.0562399564824493 0.0792712784804101 0.0876080304779574 0.054800896157943 0.102589320417042 0.0520062789759697 0.0886274400971308 0.0560378394452391 0.0598890655944406 0.0530188864137676 0.0777983806937427 0.0698696745731574 0.0654104376245738 0.0442269562018651 0.0857591462321345 0.0456057224040628 0.043134232409599 0.0581520272463235 0.0789909689980657
